objective_1,genotype_1,step
-0.74,0.6,1
-0.78,0.3,2
-0.66,1.0,3
-0.74,0.7,4
-0.82,0.4,5
-0.66,0.9,6
-0.78,0.2,7
-0.82,0.5,8
-0.82,0.1,9
-0.74,0.11505609538888309,10
-0.74,0.3781438550882231,11
-0.76,0.6772362003469542,12
-0.78,0.0722223358895662,13
-0.8,0.4906385078964103,14
-0.8,0.13350222662795266,15
-0.78,0.36345855933451493,16
-0.72,0.035495370813584025,17
-0.82,0.06582584601367661,18
-0.78,0.32338282848911365,19
-0.8,0.06902911676476489,20
-0.82,0.09350361485829897,21
-0.8,0.6209711245921006,22
-0.8,0.3173176819640165,23
-0.76,0.0,24
-0.86,0.25663040241015567,25
-0.74,0.07852464877790136,26
-0.74,0.5192445663869948,27
-0.8,0.2957570054008331,28
-0.82,0.39415776016720827,29
-0.78,0.21085173365190252,30
-0.78,0.6092719379875906,31
-0.78,0.027944736282446713,32
-0.72,0.28995451613561646,33
-0.84,0.22522535772882657,34
-0.76,0.49626612848860835,35
-0.8,0.218331018509965,36
-0.74,0.5135154371524365,37
-0.8,0.08096190182401997,38
-0.82,0.0907692638931761,39
-0.82,0.42061764758421605,40
-0.76,0.11779063304890416,41
-0.78,0.6180497215111137,42
-0.78,0.08535627382237645,43
-0.82,0.2827824939700185,44
-0.76,0.523090269268419,45
-0.68,0.7020023610203524,46
-0.76,0.07467644500859008,47
-0.82,0.12825602630430702,48
-0.82,0.3930989522632017,49
-0.8,0.21467972388104145,50
-0.76,0.1263137633023342,51
-0.82,0.39736496882511324,52
-0.74,0.3661249261063806,53
-0.76,0.5936320353691888,54
-0.82,0.25116102541558405,55
-0.82,0.22217864075389238,56
-0.76,0.21659944656619984,57
-0.78,0.0740461567076797,58
-0.8,0.11406123360866491,59
-0.82,0.27787734988178664,60
-0.82,0.413525550753097,61
-0.72,0.12942085946689735,62
-0.8,0.4050934649683858,63
-0.8,0.38390504923447155,64
-0.76,0.10709414655970526,65
-0.8,0.1109010630676611,66
-0.66,0.1549103851248033,67
-0.86,0.2554626443584844,68
-0.82,0.0949311436567398,69
-0.74,0.3648983037501875,70
-0.78,0.21356059644435543,71
-0.76,0.23780286189369287,72
-0.8,0.2614548363341903,73
-0.84,0.2793437679088769,74
-0.82,0.39047966322741934,75
-0.78,0.22964785381043865,76
-0.84,0.4094585736063097,77
-0.78,0.10299741848894177,78
-0.78,0.1334142416407306,79
-0.8,0.28424486681907446,80
-0.78,0.08823406826020533,81
-0.72,0.03516246081206389,82
-0.78,0.17222094952761272,83
-0.84,0.4125082572235154,84
-0.78,0.5292914709229152,85
-0.8,0.2232222514530715,86
-0.82,0.2925080039021443,87
-0.82,0.29067055467484604,88
-0.78,0.2755705951448908,89
-0.8,0.2530224950378093,90
-0.8,0.2385734160023023,91
-0.8,0.45269520408757924,92
-0.62,0.16081213443463555,93
-0.78,0.2810360008063658,94
-0.76,0.2646816290018091,95
-0.78,0.41638953203828527,96
-0.7,0.14690796989086302,97
-0.7,0.11227924506715284,98
-0.82,0.2688194123074132,99
-0.78,0.36906718484486206,100
-0.82,0.3855212177617696,101
-0.8,0.22039059490578294,102
-0.78,0.028777379520699607,103
-0.8,0.3885384766670816,104
-0.8,0.28991581644449377,105
-0.82,0.2778681056891081,106
-0.76,0.5067682174082971,107
-0.76,0.2706723114110539,108
-0.78,0.24986218519963757,109
-0.78,0.22673321444205818,110
-0.78,0.4114345921855366,111
-0.8,0.3019617759987855,112
-0.8,0.2611494046933639,113
-0.82,0.2059176034737693,114
-0.76,0.21660726314794845,115
-0.8,0.06458272062055861,116
-0.82,0.29939484148291945,117
-0.82,0.38857994998002204,118
-0.78,0.6172288320627898,119
-0.82,0.39840083799205894,120
-0.74,0.17496187261581347,121
-0.8,0.45487791835017316,122
-0.78,0.3598693753056789,123
-0.8,0.24016112866193723,124
-0.76,0.3652545101600871,125
-0.76,0.19956342439122546,126
-0.78,0.4239206264236824,127
-0.74,0.2596318881105664,128
-0.82,0.358243879396179,129
-0.72,0.1310503531239679,130
-0.8,0.21954291594767547,131
-0.82,0.4436163369659627,132
-0.84,0.2305594282202097,133
-0.78,0.22935224829348969,134
-0.68,0.14364430476065942,135
-0.82,0.25266831757925934,136
-0.84,0.06085271924323563,137
-0.74,0.1839646944663111,138
-0.76,0.12412913575045162,139
-0.76,0.27065103305283483,140
-0.78,0.22342492325242502,141
-0.8,0.11375909214327815,142
-0.82,0.29103314783598655,143
-0.78,0.3608676588833608,144
-0.8,0.042612801515908474,145
-0.78,0.28159517001472373,146
-0.74,0.24988366812134596,147
-0.78,0.3485614904274388,148
-0.8,0.36923451630351506,149
-0.78,0.20287769278841422,150
-0.86,0.2276931463130997,151
-0.82,0.26531775775248806,152
-0.76,0.1779309554807297,153
-0.78,0.2438088550010761,154
-0.74,0.06908988059919621,155
-0.8,0.2853582653188895,156
-0.82,0.2315703966922784,157
-0.8,0.41537453914193045,158
-0.78,0.4707017262105106,159
-0.82,0.41943054852095274,160
-0.78,0.1796137907097506,161
-0.82,0.4010546794582126,162
-0.78,0.06209267679174999,163
-0.82,0.25819180812605225,164
-0.82,0.4753298099747674,165
-0.82,0.23639431464118754,166
-0.78,0.41377589364420897,167
-0.8,0.4475906331154114,168
-0.72,0.11948262954678195,169
-0.82,0.06825029386557588,170
-0.7,0.15229497612621004,171
-0.8,0.22890822759885654,172
-0.76,0.2755434829558318,173
-0.8,0.31962947061331837,174
-0.78,0.2641563471967614,175
-0.82,0.24572912326758192,176
-0.74,0.19934628367660098,177
-0.84,0.4108871163945064,178
-0.78,0.36170815900439524,179
-0.8,0.4396878432741039,180
-0.84,0.28104050247590706,181
-0.8,0.26158976059782557,182
-0.82,0.3326006737647661,183
-0.8,0.41892091301720225,184
-0.82,0.11206537135023306,185
-0.74,0.511509649221288,186
-0.8,0.38698186371695664,187
-0.86,0.2737162146006145,188
-0.72,0.027792713728866915,189
