objective_2,genotype_1,step
1204.36,0.6,1
1789.44,0.3,2
764.78,1.0,3
1237.8,0.7,4
1074.42,0.4,5
801.16,0.9,6
2170.3,0.2,7
1151.16,0.5,8
2117.38,0.1,9
2077.16,0.17724045040087957,10
1354.96,0.3674021823033694,11
1351.06,0.5906385030296133,12
1269.52,0.5335022036854202,13
1341.42,0.4634573923104498,14
1051.84,0.9147556782112073,15
1420.0,0.3743551015365352,16
1337.56,0.5475300032716923,17
622.56,0.9667047729162869,18
815.56,0.6445807068956402,19
931.48,0.9691397456944519,20
987.96,0.9403828641330156,21
1061.28,0.381949617366372,22
1474.34,0.5318150910588034,23
1670.2,0.32335005264071703,24
1347.58,0.2752513466145647,25
1695.02,0.37934321679482047,26
2954.2,0.15894645395318377,27
1286.0,0.4675781019593643,28
1213.06,0.8,29
1511.3,0.6130266070496951,30
987.96,0.942242458006428,31
1140.44,0.5518647798198753,32
1306.14,0.4960390358427171,33
1206.6,0.3805997355025501,34
1038.06,0.722842624778343,35
985.36,0.8860193344457601,36
1690.38,0.25286325097642204,37
1173.26,0.537599052838974,38
1216.1,0.36386360555714303,39
1131.6,0.6373760053716573,40
1305.32,0.6459305887569287,41
604.62,0.9650818924798665,42
2117.46,0.09575165604088856,43
1990.26,0.08821398066493161,44
1344.88,0.7183044230783073,45
1544.62,0.4692793111715087,46
1174.44,0.4982987907878556,47
1044.12,0.9111728857414152,48
1315.7,0.36555568671349326,49
722.64,0.9983130363812789,50
666.44,0.8802310849645524,51
1207.02,0.566534107705251,52
1272.82,0.3476323595931176,53
841.18,0.8778641333645352,54
1310.18,0.45622760158643344,55
1374.98,0.5278300351682746,56
988.32,0.8308667708611479,57
1044.12,0.9099460373133015,58
1146.92,0.606273589968976,59
879.32,0.9266258960730565,60
880.16,0.9249453385941813,61
1205.26,0.5411994973927612,62
1113.42,0.411467656684472,63
1153.24,0.5729656970158696,64
1316.78,0.5571182543030656,65
931.48,0.9677958978451651,66
932.84,0.9896780893271293,67
1072.86,0.7240793463678055,68
1296.64,0.5936465298448917,69
1435.12,0.6872456440703513,70
946.44,0.8822856282667442,71
1333.12,0.5787795940078012,72
921.2,0.9362331174674186,73
588.02,0.9922452528590029,74
1351.0,0.404357104213095,75
1304.8,0.41664382975669206,76
959.32,0.9506464203319901,77
1253.3,0.6837474803077336,78
1501.2,0.33384349945299824,79
949.96,0.4981401570043465,80
1001.5,0.8422625674521822,81
1018.72,0.8441428153537366,82
1061.28,0.38305493773802446,83
917.3,0.9745337679139758,84
1020.14,0.7857032242274907,85
1329.18,0.3280046046329702,86
1092.24,0.9308994112244836,87
1258.02,0.6785931073096136,88
1347.58,0.2762408083168809,89
1360.44,0.48033873025255575,90
1332.62,0.5928305440191065,91
952.68,0.6688431883623764,92
815.56,0.6428424156457032,93
1092.24,0.9299364560292963,94
1285.86,0.4207707314419363,95
1430.04,0.9373946918028653,96
1717.06,0.4605273183852213,97
1168.88,0.4823990251326893,98
1674.02,0.3936794025782594,99
739.44,0.9821002222734594,100
1525.38,0.5887545321152764,101
594.7,0.9935905272990251,102
792.36,0.9234753062741706,103
1025.66,0.9479468709470392,104
1301.22,0.40379431893700646,105
1042.54,0.5048294024754545,106
1306.14,0.49603288418071284,107
1128.42,0.6398907741594717,108
588.02,0.9907759589276118,109
1286.0,0.4674138433743635,110
1285.86,0.4206747831110924,111
571.04,0.9957905196183793,112
1249.98,0.39804987319931906,113
962.02,0.963068429073026,114
1204.36,0.602317138905062,115
1530.74,0.3622194228688226,116
1010.48,0.6644033640928975,117
1153.24,0.5756435675683476,118
1172.16,0.43548843551856625,119
1040.6,0.943021773570986,120
946.12,0.9344950987521564,121
1172.46,0.5207840306006317,122
1726.68,0.2983998961153568,123
583.46,0.9975729377054098,124
921.36,0.4883776012201711,125
1191.06,0.48981646027055153,126
1269.52,0.5345286105386995,127
1279.22,0.9358099157401544,128
1420.86,0.4468329143926728,129
1025.66,0.9508381355831894,130
2242.58,0.28994517370860456,131
759.92,0.9757126895535638,132
751.9,0.9896462965120316,133
