objective_1,genotype_1,step
954.16,0.6,1
1429.04,0.3,2
581.42,1.0,3
1293.44,0.7,4
1336.72,0.4,5
941.34,0.9,6
1874.6,0.2,7
1601.32,0.5,8
2525.56,0.1,9
1019.14,0.8781432516733909,10
969.24,0.9597775859528692,11
1213.02,0.8674011660124112,12
1237.1,0.8,13
1187.38,0.5906385030296133,14
1048.66,0.7334753602279518,15
2089.18,0.26348773151660093,16
1293.2,0.9147556782112073,17
1073.6,0.7041098104590383,18
872.76,0.7634075825490905,19
1953.66,0.2512727950021176,20
721.36,0.9970522832627623,21
2057.28,0.272714884422579,22
936.24,0.7669323345741467,23
1137.78,0.6320486334372171,24
1198.76,0.49265802125036123,25
1023.06,0.42228174687280406,26
1520.84,0.39418370551447673,27
2273.06,0.15229110309615917,28
1125.28,0.8470277380058076,29
1080.66,0.6934809505412305,30
1614.0,0.7277451518014109,31
790.72,0.9051151993715685,32
732.78,0.9644645088650978,33
744.22,0.7116798708922819,34
581.42,0.9985312492454315,35
1342.18,0.6065190494587693,36
970.56,0.9563912252082606,37
696.06,0.8212588017948736,38
677.02,0.8322317152217169,39
1207.46,0.3872957448766222,40
905.0,0.9429541637694474,41
1202.84,0.9765139049294866,42
825.24,0.7755188919901002,43
1125.28,0.8491991228180928,44
1016.44,0.8936314667493713,45
1413.22,0.7420828393284394,46
1179.56,0.4830130711343371,47
976.14,0.5958104890414806,48
962.52,0.6384166340591761,49
1023.44,0.8052126828934663,50
910.98,0.9325080538464198,51
719.56,0.6712902302483617,52
1050.9,0.9374357586539155,53
825.24,0.7773776269156742,54
1186.0,0.7549232641726531,55
969.24,0.9626357735454594,56
815.96,0.901587682918834,57
1037.2,0.8241365676994873,58
1017.64,0.8853936938937954,59
732.78,0.9666851999323267,60
1402.66,0.7442123479799425,61
987.52,0.9294785282784744,62
1189.58,0.7984456939054112,63
725.56,0.9177376073104687,64
1203.44,0.7731507683911318,65
604.12,0.9923402993135546,66
962.52,0.6357811772372344,67
604.12,0.990750028413385,68
1044.32,0.770654698429856,69
941.34,0.8996718870166045,70
1017.0,0.7869964142189094,71
1096.02,0.9725727815499949,72
788.28,0.9105357614976359,73
1016.44,0.8931031853160002,74
780.58,0.7939646565639239,75
969.24,0.9604825014133949,76
728.0,0.9701209134129594,77
732.78,0.9632672580627102,78
969.24,0.9618259941792611,79
970.56,0.9564742710330252,80
1402.66,0.7475968412820473,81
604.12,0.9941173590941211,82
1037.2,0.8245168334124733,83
926.06,0.9869834778666124,84
898.12,0.8373492597108818,85
1019.14,0.8779082750383381,86
1019.14,0.8807096900362007,87
1129.88,0.7597104096217502,88
926.06,0.9884861763461995,89
1470.96,0.5926956138092953,90
910.98,0.9354795802922858,91
1096.02,0.9718952767409931,92
886.72,0.721033425215021,93
926.06,0.9895585176891798,94
832.9,0.8283623774265637,95
1413.22,0.7424178198463346,96
910.98,0.932740902557021,97
1192.38,0.7154252218746324,98
1242.64,0.6886076059019111,99
1073.6,0.7045878314623749,100
691.36,0.8136699798723953,101
780.58,0.7917250707972009,102
1036.82,0.8695881464071642,103
1025.64,0.8909768875874502,104
677.02,0.8332583509876457,105
630.78,0.9813705817409648,106
786.52,0.9467813503157434,107
887.72,0.790573020218685,108
790.72,0.9075828063258078,109
1402.66,0.7476041885152672,110
1202.84,0.9762601767157021,111
696.06,0.8190617037964165,112
1036.82,0.8705008253874962,113
926.06,0.9882020898214426,114
1050.9,0.9358643368540974,115
1203.44,0.7715292618641181,116
1019.14,0.877184998722505,117
1293.44,0.698850635324663,118
966.6,0.8086799495915153,119
1186.0,0.7538377405692437,120
788.28,0.9121076915396455,121
1050.64,0.7078835065059823,122
969.24,0.959269047570238,123
1671.0,0.520259736540181,124
1096.02,0.9713259029770385,125
1025.64,0.8912446226154203,126
949.44,0.6446867867702708,127
1037.2,0.8255764900601177,128
719.56,0.6728936606292889,129
1139.32,0.6659072010145665,130
1199.74,0.8741429739780596,131
1062.96,0.8648395657005805,132
1017.64,0.8879521474220409,133
