objective_1,genotype_1,step
-0.68,0.6,1
-0.78,0.3,2
-0.56,1.0,3
-0.7,0.7,4
-0.82,0.4,5
-0.6,0.9,6
-0.8,0.2,7
-0.78,0.5,8
-0.74,0.1,9
-0.84,0.3674021823033694,10
-0.7,0.5906385030296133,11
-0.6,0.9285047139724648,12
-0.6,0.9634573663792109,13
-0.62,0.8147556782112073,14
-0.6,0.8743543629897932,15
-0.7,0.6475300028556926,16
-0.78,0.18918837918814627,17
-0.66,0.5445822746937194,18
-0.62,0.9014313124001376,19
-0.72,0.6074088357718872,20
-0.6,0.8422398346314284,21
-0.7,0.1160296824621339,22
-0.78,0.07997567813504539,23
-0.76,0.3854313504532414,24
-0.72,0.0,25
-0.7,0.5036627542855977,26
-0.68,0.6941835701710899,27
-0.6,0.9875793586088892,28
-0.8,0.3513247322508911,29
-0.56,0.9438798501046399,30
-0.6,0.5610686415102768,31
-0.68,0.5560493861543717,32
-0.54,0.9558694418533588,33
-0.82,0.4046407638624003,34
-0.58,0.8368391754954668,35
-0.8,0.21435571091457456,36
-0.8,0.37443372859894025,37
-0.58,0.9978901530548827,38
-0.6,0.9828369849587327,39
-0.72,0.5090632773906105,40
-0.74,0.4856442945757931,41
-0.78,0.5013538493636785,42
-0.52,0.9679774075048153,43
-0.56,0.8189068907598533,44
-0.76,0.4176693723242206,45
-0.84,0.34288470001474736,46
-0.82,0.37090297978727627,47
-0.58,0.8889064055370121,48
-0.54,0.9588396014794036,49
-0.58,0.8387225894054338,50
-0.62,0.9813986379153932,51
-0.58,0.9568982976161736,52
-0.62,0.8171283839025882,53
-0.64,0.6283226426583701,54
-0.6,0.5605820761179039,55
-0.72,0.5302010081440383,56
-0.64,0.6386696260223674,57
-0.62,0.99380101348927,58
-0.56,0.9700245397682512,59
-0.84,0.43556841978853045,60
-0.7,0.6042877366708129,61
-0.72,0.482717508677491,62
-0.8,0.3297069113839905,63
-0.54,0.9746403038437415,64
-0.82,0.34964332256751285,65
-0.8,0.3060681428873921,66
-0.56,0.9364629024323208,67
-0.78,0.3013427421034183,68
-0.8,0.2404603137880338,69
-0.7,0.47706648840142946,70
-0.54,0.9524559482667854,71
-0.66,0.7630822965979903,72
-0.68,0.7385682435388776,73
-0.72,0.5237429287400108,74
-0.6,0.9908943535757404,75
-0.58,0.9610287645777331,76
-0.8,0.30964568403869547,77
-0.74,0.38861493355406485,78
-0.72,0.48971504305652863,79
-0.76,0.38026705905279096,80
-0.56,0.9296593750367851,81
-0.68,0.6022773093367633,82
-0.84,0.3268190977605043,83
-0.84,0.3079077808898429,84
-0.86,0.4540569719500698,85
-0.68,0.7352265010508628,86
-0.56,0.9801693832384754,87
-0.54,0.9655044293749206,88
-0.6,0.9972650818694341,89
-0.7,0.5272285245289773,90
-0.56,0.9476382989015345,91
-0.66,0.6934168666532378,92
-0.58,0.879940086756986,93
-0.82,0.3564696298165587,94
-0.66,0.7535472143065973,95
-0.78,0.46165964418526373,96
-0.64,0.6130642582970117,97
-0.86,0.4474693494477041,98
-0.68,0.5972216363763753,99
-0.66,0.7712584944497051,100
-0.76,0.4492507632381065,101
-0.86,0.4524675485127997,102
-0.68,0.6741335319542594,103
-0.68,0.6479157211942592,104
-0.86,0.32696521705221415,105
-0.84,0.4028629500027906,106
-0.8,0.4632066936413349,107
-0.54,0.9756769558317133,108
-0.66,0.6157309072883986,109
-0.58,0.9730056818148967,110
-0.7,0.5027917042106081,111
-0.72,0.4761270954143463,112
-0.58,0.9619099684594975,113
-0.6,0.9869900966557361,114
-0.78,0.4645370022053152,115
-0.8,0.4550951635619044,116
-0.78,0.42800559700413326,117
-0.82,0.3162596557542151,118
-0.52,0.967772288471032,119
-0.68,0.7383762886971663,120
-0.76,0.2711826177090574,121
-0.82,0.43687431746767214,122
-0.56,0.8715986122953936,123
-0.84,0.32340686041217126,124
-0.68,0.7108524755338707,125
-0.82,0.45102770608774784,126
-0.72,0.48203245520324456,127
-0.66,0.5777674707790962,128
-0.58,0.9461217781871734,129
-0.82,0.33688907772219434,130
-0.68,0.5818828337302142,131
-0.68,0.6514118066815475,132
-0.68,0.5669337727503405,133
-0.74,0.48118947702485954,134
-0.7,0.49545417016549864,135
-0.62,0.9904689544534897,136
-0.6,0.8707934452887566,137
-0.56,0.9312851627157952,138
-0.56,0.9356457097508596,139
-0.54,0.9775342283314036,140
-0.52,0.9690190042353517,141
-0.72,0.7138985361814718,142
-0.7,0.5884294251283,143
-0.74,0.488380467747732,144
-0.82,0.3238584782702823,145
-0.74,0.45770098589182384,146
-0.68,0.5741925819637297,147
-0.56,0.9724425657627739,148
-0.6,0.9623396403121817,149
-0.7,0.7186107594941736,150
-0.78,0.46737045745473293,151
-0.84,0.4027136083222783,152
-0.8,0.3916512870975736,153
-0.68,0.7103765962331587,154
-0.76,0.4497079601502546,155
-0.76,0.473598766962129,156
-0.74,0.4565407836728128,157
-0.7,0.49134799759709297,158
-0.58,0.9061933376092345,159
-0.8,0.45757891186619676,160
-0.6,0.9888834978606607,161
-0.84,0.40106793191584417,162
-0.52,0.9683161261004205,163
-0.76,0.4723594770645865,164
-0.86,0.3286050066027989,165
-0.6,0.984594902178411,166
-0.84,0.32395131681073225,167
-0.82,0.384887508144811,168
-0.7,0.4967021224595136,169
-0.58,0.9969332741566298,170
-0.56,0.9727421417447972,171
-0.6,0.988798131412975,172
-0.76,0.3928895581001466,173
-0.6,0.9660075997279037,174
-0.8,0.3045681233219752,175
-0.66,0.5734928018615028,176
-0.72,0.4786991131453827,177
-0.66,0.5279531148396603,178
-0.6,0.9982634958110242,179
-0.62,0.9917349254607387,180
-0.54,0.9531938452467761,181
-0.66,0.6866118201641666,182
-0.8,0.40677557800628206,183
-0.82,0.41541164112898954,184
-0.78,0.4607438071296978,185
-0.62,0.5248319521490039,186
-0.78,0.4663612486832272,187
-0.66,0.74883595036971,188
-0.66,0.519308203741943,189
