objective_1,genotype_1,step
-0.5,0.5,1
-0.75,0.0,2
-0.7,0.3,3
-0.45,0.7,4
-0.5,0.9,5
-0.5,0.29499307532774,6
-0.4,0.512132808733808,7
-0.65,0.2748243020791027,8
-0.15,0.8259048254311319,9
-0.65,0.12512112622077964,10
-0.8,0.3172629232187335,11
-0.7,0.037996828116921066,12
-0.35,0.8732294506347014,13
-0.7,0.3075748132254142,14
-0.65,0.2656395863769599,15
-0.35,0.9265341400121194,16
-0.6,0.24996767326530148,17
-0.6,0.08070355372582497,18
-0.65,0.2947641484327741,19
-0.75,0.06044225837601529,20
-0.6,0.04329973775113975,21
-0.75,0.319844059836348,22
-0.6,0.2926388573949518,23
-0.5,0.43329002885164647,24
-0.75,0.4189226276898557,25
-0.6,0.09235968989985281,26
-0.6,0.24725945386024054,27
-0.65,0.08321731732531659,28
-0.7,0.3011944905528237,29
-0.6,0.15663479030789557,30
-0.65,0.004970487829009463,31
-0.75,0.042411776256168834,32
-0.25,0.48569541907330277,33
-0.6,0.0019105937667103557,34
-0.75,0.38762779901681654,35
-0.75,0.2424554919598519,36
-0.6,0.0064571898320982205,37
-0.7,0.24057580020263933,38
-0.65,0.4246319401875806,39
-0.45,0.5866173770867633,40
-0.6,0.030440403784373692,41
-0.85,0.3294950980259438,42
-0.7,0.008115294765805369,43
-0.7,0.25694935165527844,44
-0.9,0.24436215605331862,45
-0.65,0.07308861290108899,46
-0.8,0.327674203509844,47
-0.5,0.06649025436121682,48
-0.7,0.33312326597572567,49
-0.6,0.2718735214155713,50
-0.6,0.2879245924570122,51
-0.7,0.2234985432076469,52
-0.75,0.021991891285511867,53
-0.6,0.031003268556381514,54
-0.7,0.3089368153384999,55
-0.65,0.3704383618540196,56
-0.7,0.2561907633183228,57
-0.75,0.310093809953347,58
-0.8,0.009523821103080254,59
-0.75,0.013206350118597632,60
-0.8,0.32113684651604757,61
-0.75,0.3449750697127687,62
-0.65,0.24091354660125167,63
-0.7,0.04049204230197272,64
-0.5,0.3331415171482798,65
-0.55,0.06389172210721365,66
-0.6,0.26015882064286744,67
-0.75,0.24280425686474372,68
-0.75,0.10318407413266124,69
-0.75,0.3032738399254514,70
-0.75,0.30616971221221634,71
-0.7,0.31850366563543275,72
-0.65,0.33657699618657777,73
-0.75,0.3617532796375219,74
-0.7,0.08334556276503036,75
-0.6,0.4082531299706689,76
-0.65,0.13314762956021636,77
