objective_1,genotype_1,step
-0.76,0.6,1
-0.82,0.3,2
-0.74,1.0,3
-0.72,0.7,4
-0.8,0.4,5
-0.72,0.9,6
-0.88,0.2,7
-0.72,0.5923081995904502,8
-0.4,0.9438089780483125,9
-0.7,0.9949695033872439,10
-0.78,0.1,11
-0.86,0.13449783236418292,12
-0.88,0.20620638955662987,13
-0.8,0.644419701210226,14
-0.76,0.8,15
-0.78,0.5705296450628965,16
-0.78,0.8854819116864501,17
-0.78,0.9878375854296773,18
-0.78,0.5756811546590043,19
-0.82,0.2248875594236678,20
-0.86,0.03181530185579275,21
-0.86,0.1922678753796422,22
-0.76,0.9859628304730725,23
-0.0,0.9423837138809722,24
-0.84,0.1393692931502261,25
-0.7,0.9562085882754061,26
-0.82,0.25821912172402584,27
-0.72,0.971226433832961,28
-0.74,0.8872909262643682,29
-0.72,0.9543995710561793,30
-0.78,0.9155836165406575,31
-0.88,0.2536572137231291,32
-0.72,0.9264734400776435,33
-0.84,0.193343845662087,34
-0.76,0.9597652011431238,35
-0.74,0.9829433574589391,36
-0.76,0.3090728894272079,37
-0.74,0.965592699937776,38
-0.84,0.13939925833221636,39
-0.74,0.9550472550154432,40
-0.82,0.2730688986125658,41
-0.74,0.9624504724882323,42
-0.14,0.8397716143801924,43
-0.84,0.3571671244156723,44
-0.88,0.30707137363367465,45
-0.74,0.9974261469633884,46
-0.74,0.9829249928565306,47
-0.76,0.3016924545750824,48
-0.72,0.9551729572272448,49
-0.72,0.9796697079255612,50
-0.86,0.3101180297467627,51
-0.0,0.9410783297848584,52
-0.82,0.22507212105189184,53
-0.74,0.9962289097727943,54
-0.76,0.2909169730836312,55
-0.82,0.35012650253560007,56
-0.76,0.9809415817032413,57
-0.72,0.9987641408758974,58
-0.86,0.355743292103938,59
-0.78,0.8946495428637011,60
-0.84,0.1854774021136513,61
-0.74,0.9795670226864915,62
-0.88,0.3169256910294692,63
-0.74,0.9912443166918617,64
-0.86,0.1983031743536247,65
-0.78,0.975825950584803,66
-0.82,0.2975502240997713,67
-0.72,0.9810657800685373,68
-0.76,0.20147563196338406,69
-0.84,0.20906937101797968,70
-0.82,0.19552228684558473,71
-0.8,0.39522268554093687,72
-0.74,0.9544017384783192,73
-0.7,0.993982290854064,74
-0.8,0.20259766382702676,75
-0.8,0.24286587369470974,76
-0.82,0.3657159991260458,77
-0.72,0.9908902128629075,78
-0.68,0.8692835232687603,79
-0.74,0.25811681280693005,80
-0.82,0.23031166878055537,81
-0.84,0.29373375303962296,82
-0.78,0.9495054363411031,83
-0.8,0.20169849898423395,84
-0.8,0.44065007709376863,85
-0.78,0.35962769842111886,86
-0.76,0.9786300376984812,87
-0.84,0.41563975804415076,88
-0.78,0.46434327809840503,89
-0.74,0.9932571706759994,90
-0.82,0.19526469827287402,91
-0.74,0.9514358044650513,92
-0.74,0.9909715762441345,93
-0.7,0.9795157988565911,94
-0.88,0.2051426868193434,95
-0.76,0.4421966397722141,96
