objective_1,genotype_1,step
1276.3,0.5,1
5093.5,0.0,2
4539.7,0.3,3
1664.45,0.7,4
1285.1,0.9,5
1853.75,0.6878127430885195,6
2862.35,0.5749370932109931,7
2527.45,0.4949901341961094,8
4112.95,0.31213281528804754,9
1751.8,0.9582832437850325,10
3987.0,0.42590491028938426,11
2694.25,0.4975301831657536,12
1311.55,0.8645888944498479,13
779.8,0.8629637991025589,14
1291.05,0.9164264093577152,15
1350.95,0.5016243160081899,16
2169.05,0.6674942192279572,17
10059.0,0.9375949188857,18
1609.05,0.8339898638772192,19
1067.3,0.7092820747644972,20
1285.7,0.8947765624845351,21
1168.7,0.9767892381897386,22
1866.9,0.5101013251258198,23
1232.6,0.9102766099830344,24
1032.9,0.7127937975221645,25
1623.05,0.8528618132694333,26
777.1,0.9036552156350606,27
2145.0,0.5213866998031638,28
2674.95,0.8415764820995261,29
1490.35,0.6969058134751389,30
1105.3,0.6640076863834633,31
1418.75,0.924375580181293,32
773.45,0.9195420932423634,33
1568.3,0.7059957601905478,34
3678.85,0.7459170842147663,35
1932.85,0.6341877707680827,36
1244.35,0.9207040862579203,37
767.25,0.9153176297964698,38
842.45,0.9052608431232413,39
873.1,0.6898059894065431,40
1256.85,0.9260671113442083,41
1638.2,0.8258360460637757,42
4586.7,0.7290301815680964,43
808.8,0.9651361989160929,44
861.3,0.9119396152298013,45
0.0,0.9291071422998062,46
854.2,0.9231892811285455,47
1777.55,0.8708425414996718,48
10058.9,0.935489927469894,49
923.25,0.9100113881467525,50
831.75,0.988445209180084,51
848.7,0.9626926205653273,52
1602.45,0.8530671914730121,53
2544.9,0.834867075760782,54
1008.35,0.927405550492718,55
726.0,0.9904937306320655,56
1003.1,0.8997151837059121,57
2084.65,0.8547116658938076,58
4483.05,0.7363107712045257,59
880.65,0.9612666287598941,60
862.65,0.908682007142502,61
807.7,0.9223136672494359,62
1266.1,0.9005715705612902,63
895.15,0.8211976747116159,64
964.4,0.9205535721918455,65
827.8,0.9142354652358492,66
1301.7,0.8877069544887479,67
710.05,0.9929630116026263,68
712.05,0.9771324137111576,69
1082.05,0.8149975124962323,70
1447.85,0.786504796937482,71
2263.0,0.8716428935664915,72
0.0,0.9454922524788797,73
910.35,0.9875009085496025,74
1438.05,0.8792284175020969,75
10059.15,0.9417345661278367,76
695.0,0.9985900659526781,77
