objective_1,genotype_1,genotype_2,step
-0.6,0.6,0.7,1
-0.64,0.3,0.5,2
-0.74,1.0,0.1,3
-0.72,0.7,0.4,4
-0.8,0.4,0.0,5
-0.58,0.6,0.9,6
-0.64,0.9,0.5,7
-0.64,0.2,0.8,8
-0.8,0.6,0.0,9
-0.66,1.0,1.0,10
-0.64,0.7,0.9,11
-0.7,0.4,0.2,12
-0.64,0.3,0.6,13
-0.74,0.7,0.3,14
-0.6,0.7,0.8,15
-0.74,0.2,0.2,16
-0.72,0.5,0.4,17
-0.66,0.1,0.6,18
-0.64,0.5,0.5465948223118541,19
-0.72,0.44231895514503083,0.14544679320492954,20
-0.72,0.6,0.2,21
-0.68,0.4582942585766516,0.379833497392662,22
-0.6,0.5617101572999645,0.02579012562998262,23
-0.66,0.7,0.44491080246109826,24
-0.8,0.6829801363254443,0.22460860124744503,25
-0.74,1.0,0.0904538567446879,26
-0.72,0.3,0.4017198644280972,27
-0.68,0.2,0.05217186952187325,28
-0.6,0.7203895527709478,0.42981756688181766,29
-0.74,0.10411220462473106,0.12338282848942675,30
-0.8,0.9634075825490903,0.0,31
-0.6,0.6512258135906117,0.8,32
-0.6,0.17711505377004416,0.8,33
-0.8,0.35518909234149165,0.0,34
-0.64,0.3,0.4985780453135148,35
-0.76,0.7094956461662469,0.27531770975898884,36
-0.74,0.8837869758290944,0.1,37
-0.68,0.4481454659534032,0.1846710386680283,38
-0.8,0.4559029107364852,0.0,39
-0.68,0.14272273042379383,0.12338282848942675,40
-0.72,0.33181491841049493,0.089954516135617,41
-0.72,0.8312985109339712,0.4,42
-0.64,1.0,0.028152925879793254,43
-0.74,0.5965982398678553,0.11948470934498692,44
-0.82,0.8880066514591508,0.1249434178794995,45
-0.66,0.5,0.5235528267000464,46
-0.74,0.6222109501064492,0.051964787035227555,47
-0.7,0.7440078138332347,0.2769952856765267,48
-0.78,0.9558196580232382,0.0,49
-0.72,0.10411220462473106,0.08904345786133319,50
-0.64,0.6985300316838214,0.3456514856906775,51
-0.7,0.9373302898813,0.0029758271417080597,52
-0.78,0.3546603992156376,0.001285551571201804,53
-0.74,0.4408232083737341,0.3,54
-0.8,0.9653096841934874,0.0,55
-0.78,0.7553860617301479,0.2970393879570544,56
-0.68,0.7014957467463249,0.09669770778216762,57
-0.72,0.6959586404260155,0.005761836811211163,58
-0.72,0.9634075825490903,0.09172176256439324,59
-0.76,0.3627586502759598,0.0,60
-0.7,0.9548971420661972,0.12384077402734542,61
-0.7,0.6971275597291923,0.28030435070669935,62
-0.8,0.3970130395965259,0.0,63
-0.74,1.0,0.004942522504772629,64
-0.76,0.9813906948240158,0.0,65
-0.76,0.25275107954761555,0.0,66
-0.74,0.47946600768806896,0.2195724006145982,67
-0.74,0.9653096841934874,0.07230521434675985,68
-0.78,0.8889291657701704,0.0,69
-0.72,0.9510434379750118,0.005019386375345336,70
-0.76,0.6851489788271509,0.0,71
-0.74,0.8837869758290944,0.0035599506897396214,72
-0.7,0.9973567274729017,0.0865375045892581,73
-0.7,0.44969889907106675,0.007986326915327968,74
-0.8,0.5954326780536247,0.0,75
-0.76,0.9396906772797917,0.0,76
-0.68,0.8837869758290944,0.08982410538557153,77
-0.78,0.7599533836751908,0.2970393879570544,78
-0.8,0.40518630681575124,0.0,79
-0.78,0.9198186652396381,0.0,80
-0.72,0.3530342896192386,0.0005273314341046609,81
-0.72,0.7589690539957935,0.30177417725753497,82
-0.64,0.5954326780536247,0.009989860614991075,83
-0.58,0.3772304862992071,0.00709516588378889,84
-0.6,0.4232119764042279,0.007002956502139668,85
-0.7,0.9653096841934874,0.3095944520826401,86
-0.76,0.9804283696591568,0.12466655656375396,87
-0.66,0.9987871045125672,0.0050236857938792175,88
-0.58,0.6,0.010947689066847177,89
-0.66,0.4580577134587382,0.04428207379554194,90
-0.8,0.972314665520354,0.12020863474656884,91
-0.76,0.9946866193001395,0.0,92
-0.8,0.5916631830896961,0.0,93
-0.78,0.4354532929950749,0.0,94
-0.72,0.7553860617301479,0.0013558875975128392,95
-0.72,0.883802277646043,0.002913718812455446,96
-0.72,0.981076427413609,0.12806641519885567,97
-0.66,0.8880066514591508,0.0010076601593670188,98
-0.76,0.6076075529101972,0.0,99
-0.62,0.6872283682800725,0.4719013955395874,100
-0.7,0.6829801363254443,0.3199703957601852,101
-0.8,0.616793415987223,0.0,102
-0.82,0.8865372501504801,0.1249434178794995,103
-0.58,0.617404071487178,0.011489440810679485,104
-0.76,0.40394569209448444,0.0,105
-0.8,0.3690185036904562,0.0,106
-0.8,0.7174662593081287,0.1790826454768764,107
-0.78,0.6299158096513164,0.0,108
-0.7,0.4559029107364852,0.06712537560755061,109
-0.54,0.4431928403947367,0.00732496111692742,110
-0.66,0.9996227000164357,0.12020863474656884,111
-0.8,0.9667789686211246,0.0,112
-0.8,0.9301403282365571,0.0,113
-0.74,0.5889407694127898,0.03401085385795222,114
-0.8,0.4679562313861215,0.0,115
-0.78,0.6116155825248566,0.17055513611946804,116
-0.8,0.61194991853151,0.0,117
-0.78,0.9974300312041879,0.12020863474656884,118
-0.8,0.6178420299036124,0.0,119
-0.76,0.35518909234149165,0.2273658274374067,120
-0.76,0.5484131106076426,0.0,121
-0.8,0.9387104999279362,0.0,122
-0.74,0.7049564200604354,0.1757709528001074,123
-0.76,0.44871114587637456,0.0,124
-0.74,0.8900020504262602,0.03751455204705967,125
-0.62,0.4159749634528083,0.014559404157468148,126
-0.74,0.9159194681827568,0.0012161244102846247,127
-0.72,0.67392212265623,0.002870472620214448,128
-0.8,0.36598796922016985,0.0,129
-0.72,0.9659399985291783,0.12020863474656884,130
-0.66,0.5934365076846193,0.059908559383216285,131
-0.76,0.5816814453465755,0.0,132
-0.8,0.9344962485024972,0.1249434178794995,133
-0.5,0.26672277797797905,0.022902366307753885,134
-0.76,0.7295603507564372,0.00027596536269185455,135
-0.8,0.9869796893828553,0.0,136
-0.8,0.993952828438126,0.0,137
-0.78,0.4371772971235881,0.19291401258647634,138
-0.7,0.9636039741404538,0.0043942304320681025,139
-0.8,0.39253913957782943,0.0,140
-0.78,0.6184995176191574,0.12719357345619142,141
-0.78,0.639665919524463,0.0,142
-0.76,0.8880066514591508,0.30204963828234743,143
-0.76,0.33713296862684644,0.0,144
-0.74,0.652605861684387,0.17741829690076555,145
-0.8,0.6181152726630279,0.0,146
-0.8,0.6248801971728172,0.0,147
-0.74,0.8024564848638605,0.12312049709481329,148
-0.76,0.9689861553008216,0.0,149
-0.74,0.947354163515169,0.0004989877876265036,150
-0.8,0.6829801363254443,0.2023441480852349,151
-0.8,0.33223064944251635,0.0,152
