objective_2,genotype_1,genotype_2,step
3441.85,0.5,0.1,1
5661.0,0.0,0.5,2
2681.7,0.3,0.9,3
999.8,0.3,0.8,4
1808.5,0.7,0.9,5
3755.3,0.9,0.4,6
3600.25,0.3,0.3,7
5661.0,0.5,0.0,8
3766.5,0.2,0.3,9
2634.95,0.4,0.5,10
5661.0,0.7,0.0,11
2985.25,0.6,0.2,12
3766.5,0.8,0.3,13
1694.3,0.8,0.8,14
3441.85,1.0,0.1,15
3766.5,0.1,0.3,16
3600.25,0.6,0.3,17
3243.3,0.7,0.3,18
1751.6,0.7,0.7,19
5661.0,0.8,0.0,20
1392.35,0.2758733925250279,0.8,21
3202.95,0.08856392928111871,0.3,22
2670.7,0.8,0.4,23
2182.95,0.6490790093097252,0.7381105646067858,24
5661.0,0.4,0.0,25
1458.65,0.36042316690330545,0.890754901878011,26
5661.0,0.0,0.3,27
7469.45,0.9917403026205006,0.02611837159161947,28
1300.0,0.7851892283035482,0.8,29
911.8,0.7,0.5,30
4967.95,1.0,0.1324680830308206,31
2466.45,0.7,0.6817206790182292,32
1179.4,0.7,0.7989946167734405,33
4778.15,0.1818673425357425,0.2524309844630878,34
1790.25,0.2,0.8161656245370967,35
2463.3,0.8605824370893304,0.4,36
2156.7,0.15481413240895486,0.9,37
1441.35,0.044454416621507065,0.5,38
1542.35,0.6202820440796324,0.3,39
3761.2,0.5,0.3,40
2331.55,0.8605824370893304,0.4998418627007754,41
4254.35,0.801249222686977,0.2973124422381411,42
5661.0,0.0,0.31681862669503075,43
2321.75,0.7059380978525971,0.6769391414563296,44
1635.75,0.7819980902416858,0.8,45
1264.8,0.2955110966591971,0.8,46
2122.1,0.05166642859452373,0.7960344961320505,47
5661.0,0.0,0.4917726433824633,48
1830.05,0.7,0.4931214697863576,49
1346.7,0.044454416621507065,0.545755865550809,50
3226.4,0.6202820440796324,0.40268755776185916,51
1514.25,0.19102757870045883,0.7774691035027201,52
1474.45,0.7031911380618621,0.5,53
5661.0,0.7044889033408028,0.0,54
2749.45,0.8605824370893304,0.4504806822734948,55
1440.7,0.8020252291894572,0.5039654979570255,56
4691.35,0.3855230012675294,0.2852828490248591,57
1541.25,0.7,0.3068785302143188,58
2800.55,0.7,0.3303745872396277,59
5661.0,0.0,0.30557232018256725,60
2687.05,0.4072968295778076,0.5,61
8838.4,0.7594135245085514,0.012105995993410446,62
3241.65,0.04884691522059441,0.30866038561417924,63
2346.85,0.6773809762651825,0.8062848693382566,64
2238.8,0.7146165400512551,0.558992153338191,65
4304.8,0.7931294305578485,0.08828498525491324,66
2223.55,0.009367836791148009,0.5039654979570255,67
2237.7,0.6526495216636763,0.4931214697863576,68
938.3,0.4930395553890671,0.5399624692773536,69
1841.35,0.6958943083574971,0.48375799109175366,70
1882.4,0.8,0.5024797529193938,71
935.15,0.017828470849247713,0.5539141066431796,72
2071.0,0.7171394743844834,0.5304382826568322,73
2149.25,0.289761552809723,0.6879869946689865,74
3753.65,0.8137360516936735,0.30557232018256725,75
1311.45,0.16378673796423276,0.5,76
8835.95,0.7031911380618621,0.021188958281763794,77
1029.8,0.68160980326797,0.848359505215513,78
2050.15,0.34667950072862697,0.7812272790748749,79
1755.75,0.6907947623904984,0.49173037179668067,80
2806.9,0.34940356326915,0.40704009913061545,81
1765.25,0.660782051016347,0.5165320403733872,82
2918.75,0.01306446994540894,0.47463986266939023,83
2256.8,0.6951263146028657,0.5501386154932606,84
1594.6,0.7311239708515985,0.49173037179668067,85
1931.1,0.015878478665333495,0.5,86
1859.25,0.7,0.47521725769895423,87
2312.25,0.08488824869316187,0.5564032490680199,88
1071.9,0.5034049108425507,0.7996513415355215,89
5661.0,0.5587340389033747,0.0,90
1776.7,0.0033228212649535904,0.5555734691296375,91
851.7,0.3389623888788616,0.8,92
1691.65,0.7,0.49569460445425584,93
2347.85,0.6816381831673285,0.4878076894401085,94
1226.4,0.7287995650508192,0.5080673437569475,95
1491.35,0.2955110966591971,0.7769473309844803,96
2148.35,0.023411722917704526,0.49173037179668067,97
1002.25,0.1831209369354368,0.5539141066431796,98
1815.85,0.14321584245972047,0.6322714621299372,99
1452.65,0.6068357601122609,0.5263738449754461,100
2663.65,0.6907947623904984,0.4586192135661876,101
1422.2,0.31063713121799214,0.6621520092424132,102
2545.5,0.27439269930512045,0.7131968992219192,103
1732.35,0.7964323972898217,0.49202133420849553,104
1707.95,0.38836609879542594,0.5484408363546338,105
8347.5,0.5308501443808697,0.009900048507074289,106
1418.95,0.0010448536803531528,0.5539141066431796,107
2240.0,0.03608503815329456,0.5264022321997995,108
1478.5,0.7575599218110963,0.7990901551943226,109
1981.05,0.3908738819153864,0.5,110
2684.8,0.6315737086025107,0.564593406769254,111
2648.0,0.6963875942900891,0.5036745355452106,112
2359.2,0.13018109251158005,0.5,113
1389.9,0.4929279494135888,0.5417482271498992,114
2245.9,0.18958853141169874,0.49482513580654297,115
1418.9,0.43533914457462985,0.5399624692773536,116
1878.2,0.16300420408136135,0.47617080688246627,117
1253.5,0.8020252291894572,0.5375273034612078,118
1550.55,0.7201258219626199,0.5539141066431796,119
5661.0,0.0,0.5725531659474626,120
960.75,0.36987575085462127,0.5359359023367491,121
2236.5,0.8020252291894572,0.5557204791118572,122
1382.55,0.5065053608436637,0.539624411116135,123
1303.85,0.1914158619777096,0.5539141066431796,124
1017.7,0.1962493723796115,0.5539141066431796,125
