objective_1,genotype_1,genotype_2,step
-0.6,0.6,0.7,1
-0.64,0.3,0.5,2
-0.76,1.0,0.1,3
-0.76,0.7,0.4,4
-0.78,0.4,0.0,5
-0.58,0.6,0.9,6
-0.6,0.9,0.5,7
-0.64,0.2,0.8,8
-0.76,0.6,0.0,9
-0.6,1.0,1.0,10
-0.64,0.7,0.9,11
-0.74,0.4,0.2,12
-0.64,0.3,0.6,13
-0.74,0.7,0.3,14
-0.6,0.7,0.8,15
-0.74,0.2,0.2,16
-0.76,0.5,0.4,17
-0.62,0.1,0.6,18
-0.74,0.4,0.41452944092281196,19
-0.64,0.11468588748690658,0.6035288246717718,20
-0.8,0.5217290267536765,0.0,21
-0.58,0.3,0.6515049535140343,22
-0.58,0.7,0.8790859692755643,23
-0.64,0.6541293050835698,0.7874892837967404,24
-0.72,0.409508374563958,0.1,25
-0.72,0.6,0.4,26
-0.66,1.0,0.5502817063407431,27
-0.8,0.6011651711493741,0.0,28
-0.68,1.0,0.05953139098387863,29
-0.64,0.9195984234470058,0.9,30
-0.64,0.6,0.8878427185401524,31
-0.64,0.3937480626984082,0.6,32
-0.62,0.6403828641342504,0.7819491393741578,33
-0.76,0.8318150903940585,0.1,34
-0.62,0.6861958645209599,0.8,35
-0.6,0.2,0.9517127570062985,36
-0.64,0.3,0.46897368361530506,37
-0.76,0.970255395120396,0.07142578362335408,38
-0.6,0.8584368081279429,0.7949633807127638,39
-0.8,0.5413484407424176,0.0,40
-0.6,0.5197788578640606,0.8,41
-0.6,0.40485053406821747,0.6221702776079322,42
-0.66,0.2,0.9768777745990394,43
-0.62,0.6,0.9291584376422346,44
-0.62,0.09355174264524475,0.6206060987607185,45
-0.78,0.358806580848671,0.22247147298737682,46
-0.68,0.9866764160803314,0.43479768257370555,47
-0.78,0.647495758853677,0.1,48
-0.66,0.7099268396161069,0.7813266040078701,49
-0.54,0.20195018096286638,0.017612598967910786,50
-0.68,0.09515264335779731,0.03488575776752869,51
-0.6,0.5876796151948401,0.918437353921972,52
-0.72,0.2,0.4219426871852822,53
-0.68,0.7573258040183521,0.3964335031087768,54
-0.64,0.6,0.8492137675748029,55
-0.66,0.5,0.40105434673646584,56
-0.7,0.7,0.22252061179419153,57
-0.7,0.5962011382186967,0.3852373828026311,58
-0.74,0.2164259460102817,0.08883637156106547,59
-0.68,1.0,0.5330933960310408,60
-0.64,0.3291961058457534,0.028969277507347513,61
-0.62,0.08433510913523315,0.5918213369171459,62
-0.6,0.7,0.79604960431805,63
-0.76,0.5501554120857224,0.0,64
-0.68,0.9776180858174202,0.38946601103749245,65
-0.62,0.9906284129724581,0.6,66
-0.64,0.6441532155242871,0.4331177722305579,67
-0.82,0.5303053811872034,0.20573758913741974,68
-0.72,0.652531343641522,0.31185991731942736,69
-0.62,0.6861958645209599,0.823215669892502,70
-0.74,0.7167317788173,0.16363953470876483,71
-0.66,0.08760530080487498,0.43479768257370555,72
-0.76,0.6488511067613872,0.22993218719872535,73
-0.62,0.384680510648599,0.6012102094166454,74
-0.64,0.358806580848671,0.5426524254672076,75
-0.66,0.11532067676902132,0.007881294748393986,76
-0.74,1.0,0.23010075922856021,77
-0.72,0.9866764160803314,0.2537341196571433,78
-0.76,0.5298952397959438,0.0,79
-0.72,0.7167317788173,0.09413997883871209,80
-0.62,0.5947203209745855,0.8686278843102659,81
-0.66,0.1,0.8017990478339418,82
-0.74,0.5585570775149864,0.21601959755667557,83
-0.62,0.6016269770012975,0.8271891038682154,84
-0.6,0.6541293050835698,0.8717799147184071,85
-0.76,0.6488511067613872,0.27041854614826777,86
-0.76,0.2640871920907438,0.20573758913741974,87
-0.72,0.7222907100277969,0.3365516246367154,88
-0.66,0.7,0.5845244377798082,89
-0.68,0.5217290267536765,0.003888839244716913,90
-0.6,0.8999143386660732,0.4652300366778652,91
-0.72,0.358806580848671,0.2194837338644675,92
-0.76,0.7067992390809562,0.10065092306381995,93
-0.6,0.4067092392297994,0.8034088352889978,94
-0.64,0.5904486164848273,0.9,95
-0.7,0.38896861293679996,0.15260752077342005,96
-0.7,0.6647093819907397,0.2555566312716674,97
-0.62,0.5348340109172062,0.7371591542454923,98
-0.6,0.6117804142561424,0.014458576326699446,99
-0.68,0.4621662597794888,0.9122378623862726,100
-0.74,0.6488511067613872,0.09399839915164102,101
-0.72,0.7,0.30108756254762936,102
-0.6,0.6049831752962052,0.7613295513339011,103
-0.66,0.7167317788173,0.14497978276092977,104
-0.62,0.5278647939943433,0.8925951542643904,105
-0.8,0.4018651730044228,0.0,106
-0.68,0.5217290267536765,0.04241813599511335,107
-0.5,0.5832540253473294,0.010379777103368326,108
-0.8,0.7524279454266385,0.15356581189679477,109
-0.58,0.9980456668453247,0.5491941438053269,110
-0.74,0.5488954673343659,0.004568246575041401,111
-0.64,0.6,0.9206134433279228,112
-0.76,0.6886364517137856,0.20573758913741974,113
-0.66,0.5340937756782103,0.4,114
-0.68,0.6194807593998185,0.9,115
-0.72,0.7,0.3082778655934442,116
-0.8,0.5316122881687553,0.0,117
-0.7,0.6066890915700202,0.3,118
-0.76,0.6421800594494119,0.39864297744290395,119
-0.6,0.4567021860543209,0.7291197281479261,120
-0.72,0.6515082490164098,0.2917744070160588,121
-0.68,0.3605225313476387,0.144038049523224,122
-0.72,0.6671929713150451,0.2951103900673627,123
-0.72,0.567486340498234,0.12733348608438472,124
-0.58,0.5846763485261106,0.9,125
-0.8,0.4704038392314972,0.0,126
-0.6,0.5286156824678928,0.022426203087352325,127
-0.68,0.5481442444669101,0.0654406663792563,128
-0.62,0.5802265904456575,0.8404333119114819,129
-0.64,0.6861958645209599,0.8148965896371054,130
-0.72,0.7534510400517496,0.15356581189679477,131
-0.66,0.7,0.32504521068949027,132
-0.7,0.39240691687539375,0.29913388173617206,133
-0.62,0.5172829076563663,0.8954988848059944,134
-0.66,0.6946808788183845,0.8251491672703516,135
-0.76,0.6861958645209599,0.15077054181225263,136
-0.62,0.7577880345455903,0.8301400859262793,137
-0.6,0.5113350641383365,0.8051469805030953,138
-0.78,0.5345159281072939,0.2188433910036288,139
-0.7,0.6471834600554132,0.03362398565377724,140
-0.62,0.5975956133732278,0.9759953203641059,141
-0.56,0.5802265904456575,0.8465488783105485,142
-0.72,0.49054305270543985,0.14296897417195387,143
-0.78,0.6566522315711801,0.2322846978288212,144
-0.78,0.5282824280421483,0.1623496423294834,145
-0.78,0.6886364517137856,0.15539005175730997,146
-0.62,0.358806580848671,0.9154796189576014,147
-0.74,0.5327097678139755,0.20573758913741974,148
-0.58,0.5217290267536765,0.012994962201905658,149
-0.76,0.7615343919637683,0.41284528717978064,150
