objective_1,genotype_1,genotype_2,step
920.26,0.6,0.7,1
1271.08,0.3,0.5,2
2117.92,1.0,0.1,3
1386.68,0.7,0.4,4
2802.18,0.4,0.0,5
565.76,0.6,0.9,6
835.86,0.9,0.5,7
754.52,0.2,0.8,8
2802.18,0.6,0.0,9
764.78,1.0,1.0,10
702.24,0.7,0.9,11
1372.44,0.4,0.2,12
799.8,0.3,0.6,13
912.04,0.7,0.3,14
752.28,0.7,0.8,15
985.1,0.2,0.2,16
1235.5,0.5,0.4,17
619.92,0.1,0.6,18
786.58,0.5,0.7,19
734.5,0.5854819117606468,0.9127156124869712,20
1115.28,0.7146763395112922,0.3035289048890825,21
2802.18,0.0,0.6,22
1405.16,0.821729025877721,0.5,23
1181.78,0.9423798076774066,0.47908598169639127,24
747.86,0.9541293050827709,0.7874892837967404,25
654.72,0.2,0.5095083696132133,26
765.46,0.7,0.6502817063284028,27
910.4,0.7011645385504807,0.7629934610065645,28
944.18,1.0,0.851073204704527,29
826.96,0.12264748047048205,0.5878427186007434,30
735.54,0.7,0.9691397456944519,31
735.36,0.5403828646521255,0.8819491393741578,32
750.08,0.2,0.6318150903956397,33
701.06,0.6861958645209599,0.9,34
1082.96,0.35621014739986345,0.5,35
1372.44,0.1,0.2,36
1339.96,0.6,0.2,37
768.02,0.2,0.9,38
760.12,0.19219926333385612,0.8069246736063466,39
707.68,0.5836388843249636,0.915737064933537,40
743.88,0.9389061263016222,0.898679163491288,41
712.56,0.7,0.7931440426986555,42
624.64,0.6943260530906706,0.8016433575660132,43
977.8,0.08895010203670227,0.6,44
656.18,0.715380120408882,0.8370672507074307,45
847.58,0.16795784838426725,0.5178377417090362,46
779.68,0.9979701557684543,0.9952563613863006,47
1152.46,0.6213652770026189,0.7888101201686926,48
693.24,0.07060205708763514,0.6,49
884.06,0.9662247580325515,0.9210698562051434,50
588.82,0.5911558586699759,0.9110722543818139,51
834.88,0.19788943330669256,0.5095083696132133,52
764.26,0.7033792427664347,0.968811162620355,53
953.28,0.2257275531362189,0.8863780465727759,54
857.3,0.6737032069546343,0.9898419556161109,55
605.58,0.5624027239443711,0.9826653540933112,56
755.36,0.6604687572600103,0.9,57
799.16,0.1,0.5922295301887027,58
585.54,0.5114173896429338,0.850675930352774,59
711.3,0.5911558586699759,0.9071898074801286,60
573.14,0.521130364578237,0.9826653540933112,61
860.7,0.6793576329339173,0.8016433575660132,62
735.32,0.5334582699299474,0.8589543659157556,63
753.12,0.7,0.678723208269809,64
1039.68,0.242560473188039,0.5234787353791848,65
597.96,0.6967495822303652,0.7282431769943398,66
594.28,0.12749281770466167,0.5995903606098486,67
783.74,0.7839154936060895,0.8047315573967726,68
833.9,0.17259086653242656,0.5536377485887677,69
741.82,0.632147558067162,0.8536402300862562,70
651.44,0.2,0.5912053662907064,71
751.26,0.5769796838066158,0.9110722543818139,72
762.28,0.720808538987255,0.8819491393741578,73
729.38,0.6127676905576127,0.8859932105228727,74
938.32,0.6824938538084913,0.927297767834915,75
811.12,0.019367447619300225,0.558762125627937,76
733.04,0.5344535136593458,0.9646601863290547,77
728.08,0.715380120408882,0.8407921502508694,78
1079.56,0.07804117227402294,0.6074427527928172,79
970.96,0.2,0.6025053923336323,80
580.1,0.7052764825228273,0.8921941251436822,81
599.98,0.5911558586699759,0.9355705882887737,82
790.92,0.1,0.6952913369806232,83
871.56,0.6491109277718584,0.8502989551703193,84
1409.0,0.5787225813735659,0.5050048658357826,85
697.44,0.5900369968452079,0.8401115705396714,86
689.26,0.6334295037621397,0.9,87
803.06,0.07060205708763514,0.7533298281148857,88
713.06,0.6149056066448301,0.917051482395039,89
748.6,0.6787473629641445,0.949921291927498,90
744.82,0.521130364578237,0.9779694661900862,91
769.72,0.5114173896429338,0.985686016635668,92
744.56,0.2,0.933592979306788,93
718.78,0.7164989822336463,0.9041454876468666,94
974.26,0.09419477785702575,0.5995903606098486,95
856.08,0.3790627923808721,0.9208499344428323,96
734.82,0.5953452562875615,0.6005563723411304,97
732.9,0.5477435699985075,0.8757093426421283,98
776.72,0.09841492324093547,0.6006391481585411,99
763.3,0.47332850584139974,0.9716527293053574,100
755.26,0.6099986586983556,0.9939961675572976,101
590.02,0.48606931851368873,0.9315368811153919,102
736.7,0.12749281770466167,0.9819592054015469,103
1259.16,0.2,0.46216754983517827,104
741.4,0.5280612609379407,0.8920849482028974,105
765.54,0.6723215631371995,0.9110722543818139,106
754.78,0.5765259690958073,0.7518378572864648,107
768.42,0.5624027239443711,0.9582213752654741,108
587.02,0.715380120408882,0.9293181550953354,109
825.86,0.3370569935022415,0.568377119666174,110
574.3,0.6903552597626537,0.9000610034272896,111
798.06,0.5886376563618658,0.661834738891929,112
902.6,0.7052764825228273,0.9827660320908016,113
882.6,0.07060205708763514,0.6541110161852015,114
737.76,0.5971785610893973,0.8025606625786793,115
555.44,0.6956036741190001,0.8375451671191689,116
890.26,0.1637536415452721,0.9542157221734712,117
599.64,0.5749624585540111,0.947228217219957,118
1126.34,0.7335904604880987,0.6919516459525915,119
968.9,0.0724761924580086,0.6610562430220157,120
791.52,0.6903552597626537,0.9796972776615294,121
747.52,0.5917663491250073,0.9247006090979912,122
745.4,0.521130364578237,0.9899404583595078,123
742.6,0.0958386423906823,0.7078489235833836,124
935.54,0.7736873325690519,0.900233499112236,125
755.9,0.6903552597626537,0.9696611273469802,126
770.76,0.7095175861490085,0.9388545459949913,127
610.08,0.20647879551554169,0.9826653540933112,128
1008.42,0.6733894219277261,0.8166257112339315,129
726.8,0.7052764825228273,0.9210964180945325,130
745.38,0.48606931851368873,0.954102520037666,131
619.02,0.686051936422857,0.6814709516160578,132
931.34,0.626399369757808,0.8373116680068028,133
759.56,0.4924348578681707,0.8993365693389668,134
804.56,0.5118640378208041,0.5912053662907064,135
771.9,0.6700993821997907,0.8820482837298613,136
775.02,0.5207543687388008,0.9958688682107615,137
767.84,0.7254330353237142,0.9303368284954511,138
891.76,0.7015389079478714,0.6829783215592025,139
565.76,0.5989263196704846,0.9,140
768.02,0.5402806926680135,0.9826653540933112,141
792.68,0.444594959421987,0.7252538573102398,142
563.68,0.6727853833346663,0.8615356627878041,143
725.16,0.5577259316377884,0.8999222145198924,144
744.42,0.7052764825228273,0.9100663198066276,145
602.32,0.7133936554759883,0.9289730624379582,146
747.06,0.5911558586699759,0.9468349519297519,147
855.54,0.8103130014017536,0.8156459274787778,148
980.22,0.7155531380794893,0.8318781302963748,149
693.64,0.6982492161783146,0.9000610034272896,150
742.12,0.614057756697151,0.9111380705935597,151
927.48,0.661874103030659,0.9883915410235271,152
771.72,0.5228470328028948,0.983010038815085,153
717.6,0.5749624585540111,0.9359638535789788,154
602.16,0.6775776872503823,0.8250807003559364,155
741.04,0.6945679958426345,0.8991812332719679,156
573.54,0.7052764825228273,0.8767732877182842,157
921.72,0.6728311883431008,0.7907054075873207,158
573.22,0.6727853833346663,0.860298707478503,159
773.42,0.5089973563222036,0.7657604194102948,160
653.4,0.7012932194898418,0.7794010803078054,161
758.62,0.7958237205024036,0.9,162
768.8,0.4934995559104376,0.9110722543818139,163
563.22,0.6949034658200857,0.947228217219957,164
737.36,0.6240794613754899,0.9,165
851.74,0.521130364578237,0.9993268813756606,166
637.76,0.5972879662668449,0.5974667016496508,167
731.38,0.6707719521882829,0.8767732877182842,168
737.36,0.637501568157619,0.7735925796804743,169
908.58,0.6853557824302757,0.9096385058520212,170
619.96,0.6217577929014987,0.8055797609156666,171
755.66,0.7893671523260426,0.7282431769943398,172
745.44,0.7585096528045561,0.9384586718837447,173
956.84,0.6727853833346663,0.8384633977972996,174
744.74,0.12913841527315512,0.902121622106128,175
1014.96,0.7090637321683129,0.8401237290877612,176
905.0,0.7052764825228273,0.8934360991313717,177
730.36,0.576824396850038,0.8989777094612773,178
564.64,0.6,0.8607675198095384,179
1077.12,0.7107196363176286,0.8072499466369555,180
770.54,0.5911558586699759,0.9180825405649322,181
743.78,0.5989263196704846,0.9055080089141899,182
695.0,0.7017403460704612,0.8375451671191689,183
786.36,0.5211354855495101,0.9805107790165192,184
765.88,0.6949034658200857,0.97294655503007,185
736.74,0.6903552597626537,0.8711143944059316,186
695.74,0.721540255937732,0.900601740874543,187
916.16,0.6051552624912915,0.9473586652599495,188
603.48,0.6956036741190001,0.7404581435831232,189
636.58,0.5021343573681681,0.9826653540933112,190
889.92,0.7121409375147899,0.8853508073521198,191
738.1,0.5114122686716607,0.8907968924026859,192
742.78,0.5984613006213252,0.9014866070030776,193
582.44,0.7052764825228273,0.8853185345303289,194
600.68,0.6,0.8435105749131753,195
808.28,0.5732194088012105,0.7912817479247998,196
1027.12,0.5541149122180168,0.832352686995349,197
739.94,0.6874160468832347,0.9293181550953354,198
