objective_2,genotype_1,genotype_2,step
773.76,0.6,0.7,1
1147.9,0.3,0.5,2
1739.6,1.0,0.1,3
849.2,0.7,0.4,4
2560.32,0.4,0.0,5
753.04,0.6,0.9,6
971.54,0.9,0.5,7
998.1,0.2,0.8,8
2560.22,0.6,0.0,9
872.72,1.0,1.0,10
751.62,0.7,0.9,11
1804.96,0.4,0.2,12
842.2,0.3,0.6,13
915.9,0.7,0.3,14
929.18,0.7,0.8,15
1804.96,0.2,0.2,16
1030.3,0.5,0.4,17
1103.1,0.1,0.6,18
2892.6,0.4146858874117175,0.003528904889120832,19
811.64,0.039594434388088094,0.6515049535140343,20
973.58,0.8790859692755643,0.5,21
5386.22,0.15482847396564453,0.02208412366451875,22
6574.04,0.10950837461004562,0.0206739941260925,23
818.54,0.5,0.6,24
761.12,0.5,0.3,25
958.72,0.20116519701063323,0.5,26
744.52,0.7,0.7629934610065645,27
632.62,0.7161888932340871,0.851073204704527,28
906.74,0.32264748047018127,0.5878427186007434,29
780.92,0.5,0.9,30
1028.24,0.5937479206603785,0.34038545332220516,31
815.98,0.9,0.48194914976418596,32
674.2,0.5318150910588034,0.5862011305238628,33
813.54,0.3,0.8634771208786851,34
1004.6,0.6,0.4,35
859.52,0.6689736629685494,0.9,36
780.92,1.0,0.9,37
753.04,0.3,0.9,38
1202.4,0.41449374973725134,0.39585694406467187,39
747.84,0.5026948392793555,0.7629934610065645,40
2560.22,0.6057366808870588,0.0,41
731.32,0.6045451146903166,0.9688091880098717,42
815.6,0.7034838620606938,0.851073204704527,43
954.3,0.6464105818882475,0.9085514593597628,44
1035.36,0.4563362879392717,0.33573379299364686,45
1854.86,0.5265652062279358,0.2541178444491172,46
773.64,0.42370513115221975,0.9186090921735847,47
3271.16,0.5115472937735328,0.002279886246485119,48
1237.9,0.7514613485567307,0.4,49
2560.22,0.39426331911294127,0.0,50
801.3,1.0,0.7037594384324743,51
888.96,0.7161888932340871,0.5737503155016555,52
655.6,0.5336143850210786,0.6744959008792045,53
2532.74,0.6235280342031583,0.0,54
751.24,0.9925283650845198,0.7144094019542065,55
2165.3,0.4167137752855954,0.0,56
2612.42,0.701161365089997,0.06885169508171965,57
3405.26,0.5979721121261194,0.002639566446257735,58
1778.18,0.4038124462664083,0.1837030880689079,59
2371.98,0.3828545254650176,0.0964974152182402,60
2165.3,0.4030703147964969,0.0,61
903.8,0.5861471823621126,0.9688091880098717,62
1016.4,0.5322855056086705,0.42367156212601875,63
839.24,0.6,0.36006606640641864,64
5187.04,0.34679682166772635,0.023492570063259333,65
1179.92,0.6044163788398087,0.3985061125496872,66
2165.3,0.9965079138939231,0.0,67
1053.7,0.5715031328253983,0.3,68
797.5,0.5028014142237665,0.6744959008792045,69
3361.12,0.4146858874117175,0.048076389762743664,70
775.4,0.8454679096564834,0.851073204704527,71
1179.28,0.5318150910588034,0.5969990921686229,72
675.96,0.49606898904731855,0.6749250654613872,73
1578.86,1.0,0.10221252431741483,74
2560.22,0.9753742342685048,0.0,75
799.8,0.5814503860976192,0.6587978392490603,76
1916.18,0.3986226255189268,0.1,77
4334.78,0.5336143850210786,0.029330527534913654,78
