objective_1,genotype_1,genotype_2,step
-0.55,0.5,0.1,1
-0.75,0.0,0.6,2
-0.75,0.3,0.7,3
-0.75,0.7,0.8,4
-0.55,0.9,0.1,5
-0.75,0.3,0.5,6
-0.7,0.5,0.9,7
-0.75,0.2,0.8,8
-0.7,0.4,0.9,9
-0.6,0.7,0.4,10
-0.7,0.6,0.3,11
-0.75,0.8,0.0,12
-0.65,0.8,0.3,13
-0.75,1.0,0.5,14
-0.7,0.803235928712964,0.26383394732434945,15
-0.75,0.0,0.5888223070185795,16
-0.75,0.3128362555182448,0.7,17
-0.75,0.49754719291720473,0.8970712405641587,18
-0.75,0.8262633221677713,0.0,19
-0.7,0.1,0.2,20
-0.75,0.7874429826116286,0.0,21
-0.8,0.23231547069708308,0.7,22
-0.75,0.7,0.765052496176166,23
-0.75,0.0,0.5274693305527632,24
-0.65,1.0,0.42273128336566035,25
-0.75,0.7,0.7836972388775603,26
-0.7,0.6,0.8,27
-0.75,0.02891427825723658,0.5503570050736857,28
-0.7,0.8594980507125503,0.45404998478457026,29
-0.75,0.21262313220192133,0.7845285685398931,30
-0.8,0.7,0.6983400943670579,31
-0.8,0.032863204429339654,0.8096862404148467,32
-0.75,0.28649237116939685,0.0,33
-0.75,0.668650227872431,0.8139018753218672,34
-0.75,0.005849431377217118,0.5932617504930796,35
-0.7,0.2311575301204008,0.031747599013063524,36
-0.6,0.1959234790508942,0.01920102338405192,37
-0.8,0.8071328903265869,0.00034533742152884626,38
-0.7,0.3693523344665808,0.7948802733561148,39
-0.75,0.7,0.6050611849501617,40
-0.8,0.8743784125876983,0.7,41
-0.7,0.8008893798766271,0.01337034811504978,42
-0.6,0.7685676693682956,0.009059702099858314,43
-0.8,0.8055003386816161,0.6823421198453248,44
-0.75,0.7929769045261134,0.682500425705667,45
-0.65,0.7996905533668827,0.028245124559299884,46
-0.75,0.9023055783974087,0.7,47
-0.85,0.8055003386816161,0.6871893776604656,48
-0.75,0.005371801935549892,0.6019066214583262,49
-0.75,0.7829957977572908,0.011135304570997562,50
-0.75,0.31815928509900815,0.566421847066439,51
-0.8,0.2448373924352643,0.6998416941396576,52
-0.75,0.7326930818890942,0.7882178173694339,53
-0.75,0.2,0.8196374807964173,54
-0.8,0.7,0.7947331522622323,55
-0.7,0.8545717015030906,0.0002615197116171197,56
-0.75,0.032863204429339654,0.8180377295924671,57
-0.75,0.8690322273864869,0.6262374594963218,58
-0.7,0.8743784125876983,0.7653393629443593,59
-0.75,0.806176001994735,0.6805752503624547,60
-0.7,0.028481585422511148,0.7,61
-0.75,0.896016879905449,0.682486191021497,62
-0.75,0.7946401890542971,0.0,63
-0.75,0.7053745298909563,0.698897856996214,64
-0.75,0.22628681640317225,0.8096862404148467,65
-0.75,0.7385014169563068,0.6983400943670579,66
-0.8,0.8055003386816161,0.6427185956461766,67
-0.75,0.8402654882023594,0.641790360247416,68
-0.75,0.8017902046557037,0.7714806045940132,69
-0.75,0.06497604435681854,0.6217014104554719,70
-0.65,0.7,0.036864674090175506,71
-0.75,0.8055003386816161,0.724183466242408,72
-0.75,0.23231547069708308,0.8099050443954707,73
-0.8,0.8055003386816161,0.8653800741587737,74
-0.65,0.8091381589072529,0.7910036721251708,75
-0.75,0.04345559577298819,0.8096862404148467,76
-0.8,0.8325605643532998,0.6817218186165745,77
-0.65,0.7932810065831485,0.01968810936847174,78
-0.8,0.8081948540486511,0.6814952766706273,79
-0.8,0.23655132085982364,0.6957150565468256,80
-0.85,0.1645374566956052,0.6641685667652408,81
-0.65,0.8055003386816161,0.6043650925638132,82
-0.8,0.6792654684773154,0.8646888817379184,83
-0.75,0.04070917638395262,0.8103065416429439,84
-0.8,0.8055003386816161,0.6678040000552922,85
-0.75,0.725559789515406,0.8209329280149905,86
-0.8,0.8700939145922446,0.7,87
-0.75,0.8055003386816161,0.8684075140438061,88
-0.75,0.6854304609674555,0.6793146763398015,89
-0.7,0.032863204429339654,0.7491808304463385,90
-0.8,0.8055003386816161,0.6632939448722326,91
-0.85,0.36388632549815786,0.6984397873968934,92
-0.7,0.8313726618567779,0.010067129752835057,93
-0.8,0.6120579144444911,0.7947331522622323,94
-0.75,0.23365941077488644,0.7,95
-0.8,0.7782864318812882,0.71763058972328,96
-0.8,0.6809731788589664,0.7947331522622323,97
-0.85,0.1645374566956052,0.8662546908946137,98
-0.8,0.8251300618909341,0.6941145553571357,99
-0.75,0.8083207928231089,0.6873007504808161,100
-0.8,0.8055003386816161,0.6725771754185973,101
-0.85,0.20361135510497688,0.6641685667652408,102
-0.75,0.8022663800099907,0.8653800741587737,103
-0.8,0.6294072954658733,0.6723397707448419,104
-0.8,0.8011638051384716,0.6979462830195574,105
-0.75,0.385218261507321,0.6998416941396576,106
-0.9,0.34450109899359455,0.6571076082034537,107
