objective_1,genotype_1,genotype_2,step
-0.64,0.6,0.7,1
-0.68,0.3,0.5,2
-0.66,1.0,0.1,3
-0.88,0.7,0.4,4
-0.92,0.4,0.0,5
-0.76,0.6,0.9,6
-0.74,0.9,0.5,7
-0.7,0.2,0.8,8
-0.92,0.6,0.0,9
-0.72,1.0,1.0,10
-0.74,0.7,0.9,11
-0.82,0.4,0.2,12
-0.74,0.3,0.6,13
-0.8,0.7,0.3,14
-0.72,0.7,0.8,15
-0.82,0.2,0.2,16
-0.8,0.5,0.4,17
-0.76,0.1,0.6,18
-0.68,0.6146855124541942,0.10352890488912084,19
-0.78,0.4217291208489097,0.45150697022916964,20
-0.78,0.27910051632079835,0.2,21
-0.92,0.554129305418615,0.0,22
-0.78,0.5095083696132133,0.420673994013144,23
-0.8,0.7011645385504807,0.3,24
-0.36,0.5,0.06870112003729814,25
-0.7,0.9141458025365127,0.7510732047045272,26
-0.72,0.32264748047018127,0.5878427186007434,27
-0.62,0.2,0.1,28
-0.84,0.7935819864513401,0.34038545332220516,29
-0.76,0.4,0.1821497015910874,30
-0.42,0.33181840594701006,0.08620124753972969,31
-0.74,0.6,0.8634771208786851,32
-0.82,0.6,0.3,33
-0.72,0.6689736629685494,0.8,34
-0.72,0.9158451852513722,0.9,35
-0.76,0.2,0.6,36
-0.8,0.5670138751758164,0.3,37
-0.8,0.5686623580017459,0.21194476526274447,38
-0.72,0.44914127294224715,0.2,39
-0.82,0.6378330185323474,0.2868913129132986,40
-0.76,0.23326034280412186,0.4801895950616773,41
-0.92,0.5573255123340568,0.0,42
-0.82,0.6788723689471514,0.3,43
-0.78,0.6725620400367956,0.006307628717542313,44
-0.78,0.8044712610406858,0.34792914974279315,45
-0.8,0.3959431836824642,0.4024151253257127,46
-0.82,0.7011645385504807,0.31446966958114614,47
-0.92,0.5489607615673078,0.0,48
-0.76,0.4227519599976324,0.4527652271902348,49
-0.76,0.6749051778285933,0.003747608137254166,50
-0.58,0.5968037930845582,0.019949577502251015,51
-0.84,0.4329078190721529,0.21004967217566478,52
-0.78,0.5040568163175358,0.19758487481777423,53
-0.72,0.11607779787729915,0.6,54
-0.92,0.5030367962235324,0.0,55
-0.8,0.5,0.3986184665248146,56
-0.82,0.40383865735854074,0.2013815335467779,57
-0.76,0.18324377609078227,0.2,58
-0.46,0.6130274117509501,0.07985118908522475,59
-0.54,0.610269544154407,0.020896939061402553,60
-0.76,0.5060562719713448,0.27094377329717656,61
-0.78,0.5892485042830538,0.19187575302199594,62
-0.92,0.5982585579040892,0.0,63
-0.82,0.6294377853946651,0.2013815335467779,64
-0.76,0.703425412080902,0.43581475755331756,65
-0.92,0.5475543895839491,0.0,66
