objective_1,genotype_1,genotype_2,step
-0.64,0.6,0.7,1
-0.68,0.3,0.5,2
-0.66,1.0,0.1,3
-0.88,0.7,0.4,4
-0.92,0.4,0.0,5
-0.76,0.6,0.9,6
-0.74,0.9,0.5,7
-0.7,0.2,0.8,8
-0.92,0.6,0.0,9
-0.72,1.0,1.0,10
-0.74,0.7,0.9,11
-0.82,0.4,0.2,12
-0.74,0.3,0.6,13
-0.8,0.7,0.3,14
-0.72,0.7,0.8,15
-0.82,0.2,0.2,16
-0.8,0.5,0.4,17
-0.76,0.1,0.6,18
-0.78,0.9423798076774066,0.5,19
-0.72,0.1,0.7790859692755643,20
-0.8,0.5,0.35413098020513567,21
-0.76,0.8874892837967405,1.0,22
-0.78,0.9179415508334159,0.2,23
-0.76,0.2,0.7,24
-0.66,0.4,0.10116519701063323,25
-0.82,0.6629934610071435,0.4161995976795688,26
-0.78,0.551073205076508,0.22264748047048205,27
-0.92,0.5878427186007434,0.0,28
-0.74,0.7,0.8910805815064325,29
-0.76,0.24044874420186418,0.5,30
-0.92,0.381949617366372,0.0,31
-0.72,0.2862012475397292,1.0,32
-0.68,0.5647239702444453,0.7,33
-0.8,0.6,0.268997842161891,34
-0.54,0.4,0.018195079484811583,35
-0.28,0.3,0.046790725916710074,36
-0.84,0.2,0.4,37
-0.82,0.8,0.2,38
-0.92,0.3717586588194412,0.0,39
-0.76,0.885914213699194,0.985143009477634,40
-0.54,0.3880931212772096,0.012767900764490636,41
-0.7,0.6725973004728665,1.0,42
-0.82,0.20302306568708967,0.18780844289857174,43
-0.92,0.32567270441155227,0.0,44
-0.8,0.6640738784407446,0.3893264814178278,45
-0.7,0.3694645566856624,0.4685541626068844,46
-0.8,0.18203353831524488,0.35413098020513567,47
-0.78,0.2,0.42294240686457324,48
-0.82,0.18312350323854348,0.4,49
-0.76,0.6645684793102475,0.41879084365826796,50
-0.8,0.37942700602528745,0.4,51
-0.8,0.29493055311557426,0.4,52
-0.72,0.29697693431291994,0.6,53
-0.74,0.3775400985084804,0.6,54
-0.7,0.8864088143372257,0.9990951693011041,55
-0.4,0.24044874420186418,0.04071181672538415,56
-0.68,0.5175932557811752,0.7,57
-0.84,0.7,0.28582208415694205,58
-0.66,0.2502967524676404,0.09959077871514832,59
-0.44,0.29696445250427494,0.06540494479281786,60
-0.72,0.7631784172660259,0.9463201964408434,61
-0.82,0.20137947314395171,0.16605035248306005,62
-0.78,0.2672397006902174,0.4,63
-0.82,0.20302306568708967,0.18292696370070843,64
-0.78,0.49622123179317723,0.4,65
-0.82,0.94674398456158,0.3537792310789759,66
-0.7,0.49325170680327235,0.4342447414435197,67
-0.66,0.8914690046445084,0.5008921514791451,68
