objective_1,genotype_1,genotype_2,step
-0.74,0.6,0.7,1
-0.72,0.3,0.5,2
-0.6,1.0,0.1,3
-0.66,0.7,0.4,4
-0.84,0.4,0.0,5
-0.64,0.6,0.9,6
-0.68,0.9,0.5,7
-0.64,0.2,0.8,8
-0.84,0.6,0.0,9
-0.7,1.0,1.0,10
-0.68,0.7,0.9,11
-0.84,0.4,0.2,12
-0.62,0.3,0.6,13
-0.76,0.7,0.3,14
-0.66,0.7,0.8,15
-0.84,0.2,0.2,16
-0.7,0.5,0.4,17
-0.64,0.1,0.6,18
-0.58,0.3,0.8,19
-0.64,0.08185634311753989,0.6,20
-0.8,0.6541293050835698,0.18775433819187232,21
-0.84,0.6095081447306965,0.2206739941260925,22
-0.7,0.7,0.6502817063284028,23
-0.82,0.7,0.2,24
-0.84,0.6011651711493741,0.0,25
-0.62,0.4,0.4629934874110644,26
-0.64,0.6161991772983232,0.851073204704527,27
-0.6,0.7226314234402536,0.8878427185401524,28
-0.68,0.7,0.5,29
-0.74,0.5937479206603785,0.34038545332220516,30
-0.68,0.33181840594701006,0.883992064145955,31
-0.62,0.6,0.8634771208786851,32
-0.86,0.07349427542877099,0.2,33
-0.86,0.2181950794848116,0.2,34
-0.6,0.7,0.6,35
-0.84,0.14679072591671008,0.2,36
-0.64,0.3765479651552786,0.6,37
-0.66,0.5,0.39332466599972227,38
-0.76,0.07349427542877099,0.24759328628978633,39
-0.66,0.7,0.8670921727277199,40
-0.82,0.22094049212561329,0.17973186264597846,41
-0.8,0.47175783948515715,0.36479525607423446,42
-0.64,0.2,0.8850444595317484,43
-0.66,0.612767581305133,0.8871061305177965,44
-0.76,0.059188836009382316,0.24184145353638992,45
-0.86,0.14800934836033244,0.2,46
-0.82,0.18753628541596157,0.2212631855540385,47
-0.68,0.3,0.48188854508531775,48
-0.72,0.30129094301342796,0.6668027303416786,49
-0.78,0.6067627694960968,0.20009176299630896,50
-0.82,0.4,0.19572621256293518,51
-0.86,0.6,0.2147744420319341,52
-0.58,0.7226314234402536,0.864213708901041,53
-0.64,0.7,0.6260530900532315,54
-0.84,0.3987813950804508,0.2,55
-0.86,0.24141056939590538,0.2,56
-0.74,0.0688358721182363,0.26864772489079386,57
-0.68,0.5832811456013015,0.7,58
-0.58,0.27107130870940493,0.883992064145955,59
-0.52,0.24141056939590538,0.07875624064381108,60
-0.78,0.13886881595317674,0.23342436542849115,61
-0.82,0.09134824721895632,0.21278495955914928,62
-0.64,0.6400070715105868,0.6502817063284028,63
-0.78,0.693229414789607,0.17774859205207175,64
-0.64,0.5982069244715275,0.8649294069022966,65
-0.6,0.14800934836033244,0.9218188454216675,66
-0.74,0.7226314234402536,0.7328188935511241,67
-0.62,0.5885082599732061,0.8634771208786851,68
-0.86,0.656859569973976,0.20871189402447593,69
-0.62,0.248181213817965,0.9213947518671258,70
-0.82,0.7244244989687203,0.23759283415554716,71
-0.76,0.33181840594701006,0.14457233193956914,72
-0.64,0.18643039953191504,0.9244898442856435,73
-0.8,0.14800934836033244,0.226144754039806,74
-0.86,0.6717057497923362,0.21589913916398595,75
-0.8,0.33497447799002716,0.15832268766882757,76
-0.7,0.22937386813653432,0.4766107461564655,77
-0.62,0.6,0.8665327057828399,78
-0.72,0.47008236352553656,0.30905860346412084,79
-0.66,0.23004723873573124,0.4424985895522897,80
-0.64,0.6161145321552851,0.882019770712003,81
-0.84,0.09134824721895632,0.1680922228750663,82
-0.82,0.6717057497923362,0.23900210780690556,83
-0.66,0.7285795154005045,0.8635097249298596,84
-0.62,0.22209464336555965,0.449476467657954,85
-0.72,0.5832811456013015,0.6678621994081679,86
-0.64,0.3,0.47495277453590184,87
-0.84,0.6542855366619847,0.1692934378669816,88
-0.6,0.7243068993541939,0.8878427185401524,89
-0.62,0.5975335677309357,0.8625885047184703,90
-0.74,0.656859569973976,0.29366042150643445,91
-0.7,0.7,0.9422236343593802,92
-0.84,0.6509114780137251,0.23700871437350854,93
-0.68,0.6054861885063025,0.9688575525088823,94
-0.78,0.47175783948515715,0.38070468410882297,95
-0.62,0.5982069244715275,0.8744334382000787,96
-0.64,0.6718613156664663,0.8467674583405612,97
-0.82,0.18047028540490542,0.16009042784073618,98
-0.62,0.6573134201479024,0.8705717243436135,99
-0.72,0.4984791263488595,0.6678621994081679,100
-0.78,0.47175783948515715,0.15473334023301555,101
-0.68,0.14800934836033244,0.321078242849911,102
-0.68,0.38826278681589904,0.6678621994081679,103
-0.66,0.9275681430948912,0.9781788848909578,104
-0.6,0.09134824721895632,0.9150385907669115,105
-0.82,0.6568968013500254,0.21003043374209862,106
-0.84,0.7642527521380611,0.2258826240605579,107
-0.62,0.6207970002745036,0.8669000580908479,108
-0.78,0.5916584229397007,0.21677158599024376,109
-0.82,0.7656543566635237,0.1705178243662095,110
-0.64,0.7340126831724837,0.8670921727277199,111
-0.82,0.6135912631215572,0.23698329513312016,112
-0.82,0.6821595716404685,0.1831370361873444,113
-0.7,0.47175783948515715,0.414428924984779,114
-0.66,0.5572315185127608,0.6678621994081679,115
-0.86,0.6717057497923362,0.1580336017430366,116
-0.82,0.6186978038739177,0.1692934378669816,117
-0.66,0.2998806432656842,0.6854336058167794,118
-0.62,0.3047881247875117,0.6668027303416786,119
-0.82,0.6559107550992838,0.21589913916398595,120
-0.82,0.14800934836033244,0.19723889163463,121
-0.64,0.7285989003104631,0.8679370810554039,122
-0.6,0.6038706616502566,0.8534704762304047,123
-0.8,0.6150011764520303,0.17706559359562188,124
-0.62,0.5435714450634285,0.8603121971489666,125
-0.76,0.4726636322059135,0.391906149403917,126
-0.46,0.7243068993541939,0.05071913211380765,127
-0.64,0.696502818122787,0.9422236343593802,128
-0.76,0.5358878718187621,0.35576256595898725,129
-0.62,0.7792018948813937,0.8869978102124685,130
-0.76,0.5982069244715275,0.2214535483183758,131
-0.7,0.6,0.6542098176995221,132
-0.84,0.7936245812838159,0.1702334936901695,133
-0.84,0.6670530588768375,0.14981007533484952,134
-0.68,0.7001705314593318,0.6189945900625429,135
-0.62,0.14800934836033244,0.9030316524686878,136
-0.82,0.6178529722886552,0.22469984897367895,137
-0.68,0.6717057497923362,0.9481913675431001,138
-0.82,0.656859569973976,0.23061663117237777,139
-0.84,0.15053259929617563,0.1995609315605274,140
-0.7,0.47175783948515715,0.5106174584695251,141
-0.64,0.7309023993696318,0.856146855515213,142
-0.64,0.7,0.8690813094301154,143
-0.78,0.5647854074873884,0.3824217520397249,144
-0.62,0.671398583333011,0.8679436679948103,145
-0.84,0.5826387427514661,0.1554329912755522,146
-0.72,0.6753054701343596,0.6627056876711288,147
-0.8,0.14800934836033244,0.2294149400277913,148
-0.62,0.7243068993541939,0.8356964285228881,149
-0.68,0.6772045738197292,0.913760409041938,150
-0.6,0.4724198296580024,0.5963287112289167,151
-0.8,0.56311344960113,0.2750368230462795,152
-0.84,0.1427657511477044,0.2,153
-0.7,0.7238657752392894,0.9044623371227922,154
-0.6,0.6010385789097906,0.8878427185401524,155
-0.6,0.7215928445304604,0.8049086157681786,156
-0.72,0.2999276942480472,0.6668027303416786,157
-0.58,0.6913962263598508,0.8614095475256054,158
-0.72,0.14800934836033244,0.22909600261811364,159
-0.88,0.5603452281030301,0.20871189402447593,160
-0.64,0.47175783948515715,0.4297504124947452,161
-0.62,0.7807429948649389,0.9268457311526752,162
-0.84,0.6715377533117165,0.21082749660892683,163
-0.8,0.5991682920891946,0.2,164
-0.68,0.6979003917280154,0.9319233454538484,165
-0.6,0.44698434327900427,0.7164059360007314,166
-0.76,0.7263011916397039,0.2750368230462795,167
-0.62,0.5941368054546773,0.861279350662923,168
-0.76,0.6596277914720757,0.2750368230462795,169
-0.68,0.5826344013462599,0.7,170
-0.72,0.5865154940493622,0.6672873264537417,171
-0.74,0.6725421778676454,0.25814525011472056,172
-0.6,0.6754734666149794,0.667777591186654,173
-0.62,0.14705046317533776,0.8036565344487425,174
-0.84,0.6994243005582019,0.21791979694587585,175
-0.78,0.6442072726553696,0.3162515135556882,176
-0.54,0.6462136753215239,0.8878427185401524,177
-0.6,0.5836506321827202,0.9061715871194597,178
-0.64,0.7102506293599447,0.913760409041938,179
-0.72,0.5674011065763696,0.6987661838775937,180
-0.68,0.7006235406132181,0.9083958538521333,181
-0.74,0.6539078104843938,0.18153976796685678,182
-0.74,0.5941970547531371,0.6747271088597848,183
-0.72,0.7,0.32288867801469795,184
-0.62,0.7942675137982261,0.913464157755234,185
-0.84,0.09596922050338155,0.2,186
-0.62,0.7047608285125075,0.9017921755617179,187
-0.72,0.64562887240405,0.2710093966944817,188
-0.7,0.6145518206337937,0.6798558564121964,189
-0.88,0.1515798809734609,0.2012344304687414,190
-0.64,0.6546907418103525,0.8922508055241979,191
