method,sample_percent,fold,seed,sampled_ids,score,benchmark
random,0.05,0,42,[20],accuracy,aime24
random,0.05,0,42,[20],answer_length,aime24
random,0.05,1,43,[1],accuracy,aime24
random,0.05,1,43,[1],answer_length,aime24
random,0.05,2,44,[13],accuracy,aime24
random,0.05,2,44,[13],answer_length,aime24
random,0.05,3,45,[8],accuracy,aime24
random,0.05,3,45,[8],answer_length,aime24
random,0.15555555555555556,0,42,"[20, 3, 0, 23]",accuracy,aime24
random,0.15555555555555556,0,42,"[20, 3, 0, 23]",answer_length,aime24
random,0.15555555555555556,1,43,"[1, 9, 22, 24]",accuracy,aime24
random,0.15555555555555556,1,43,"[1, 9, 22, 24]",answer_length,aime24
random,0.15555555555555556,2,44,"[13, 16, 17, 22]",accuracy,aime24
random,0.15555555555555556,2,44,"[13, 16, 17, 22]",answer_length,aime24
random,0.15555555555555556,3,45,"[8, 13, 15, 2]",accuracy,aime24
random,0.15555555555555556,3,45,"[8, 13, 15, 2]",answer_length,aime24
random,0.2611111111111111,0,42,"[20, 3, 0, 23, 8, 7, 24]",accuracy,aime24
random,0.2611111111111111,0,42,"[20, 3, 0, 23, 8, 7, 24]",answer_length,aime24
random,0.2611111111111111,1,43,"[1, 9, 22, 24, 4, 14, 11]",accuracy,aime24
random,0.2611111111111111,1,43,"[1, 9, 22, 24, 4, 14, 11]",answer_length,aime24
random,0.2611111111111111,2,44,"[13, 16, 17, 22, 3, 5, 12]",accuracy,aime24
random,0.2611111111111111,2,44,"[13, 16, 17, 22, 3, 5, 12]",answer_length,aime24
random,0.2611111111111111,3,45,"[8, 13, 15, 29, 2, 9, 10]",accuracy,aime24
random,0.2611111111111111,3,45,"[8, 13, 15, 29, 2, 9, 10]",answer_length,aime24
random,0.36666666666666664,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2]",accuracy,aime24
random,0.36666666666666664,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2]",answer_length,aime24
random,0.36666666666666664,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19]",accuracy,aime24
random,0.36666666666666664,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19]",answer_length,aime24
random,0.36666666666666664,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26]",accuracy,aime24
random,0.36666666666666664,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26]",answer_length,aime24
random,0.36666666666666664,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]",accuracy,aime24
random,0.36666666666666664,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]",answer_length,aime24
random,0.4722222222222222,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1]",accuracy,aime24
random,0.4722222222222222,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1]",answer_length,aime24
random,0.4722222222222222,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16]",accuracy,aime24
random,0.4722222222222222,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16]",answer_length,aime24
random,0.4722222222222222,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18]",accuracy,aime24
random,0.4722222222222222,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18]",answer_length,aime24
random,0.4722222222222222,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18]",accuracy,aime24
random,0.4722222222222222,3,45,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22, 3, 24, 18]",answer_length,aime24
random,0.5777777777777778,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21]",accuracy,aime24
random,0.5777777777777778,0,42,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2, 18, 13, 1, 27, 16, 21]",answer_length,aime24
random,0.5777777777777778,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5]",accuracy,aime24
random,0.5777777777777778,1,43,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19, 15, 0, 16, 13, 28, 5]",answer_length,aime24
random,0.5777777777777778,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8]",accuracy,aime24
random,0.5777777777777778,2,44,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26, 25, 20, 18, 24, 23, 8]",answer_length,aime24
