method,GSM8K_acc,GSM8K_len,MATH500_acc,MATH500_len,MinervaMath_acc,MinervaMath_len,OlympiadBench_acc,OlympiadBench_len,CollegeMath_acc,CollegeMath_len,AIME24_acc,AIME24_len,Avg_acc,Avg_len,Weighted_acc,Weighted_len
Qwen2.5-Math-1.5B,75.7,110.0,51.2,327.2,11.0,1032.2,11.9,1337.7,15.8,606.3,0.0,1107.5,27.6,753.5,32.3,576.1
DeepSeek-R1-Distill-Qwen-1.5B,79.0,628.7,73.0,2570.0,20.2,3014.8,35.0,5814.2,42.8,1776.6,23.3,8432.9,45.5,3706.2,51.9,2158.6
Average Merging,78.2,533.1,71.4,1651.0,30.1,1657.1,36.4,3057.5,43.6,1117.6,13.3,5301.2,45.5,40.11,52.5,39.34
Task Arithmetic,75.0,1219.2,66.6,2731.9,27.2,2638.1,31.1,5186.3,38.5,1634.4,6.7,6564.3,40.9,10.18,48.0,1.02
TIES-Merging,78.8,595.8,72.2,1757.5,31.6,1733.2,33.6,3828.8,44.7,1101.6,6.7,4692.1,44.6,38.35,53.0,34.27
ACM-Average,75.1,502.8,69.0,1370.6,30.1,1026.5,33.5,2539.7,42.8,950.0,3.3,4182.6,42.3,52.43,50.8,49.25
ACM-TA,80.2,576.3,73.0,1835.0,33.5,1522.3,36.3,3140.1,42.3,1183.4,13.3,5488.4,46.4,38.19,52.6,36.37
ACM-TIES,78.2,469.8,69.4,1586.0,27.9,1263.9,32.7,2698.9,44.9,992.1,13.3,4201.4,44.4,49.58,52.4,46.36
Mergenetic-TA-Accuracy,84.7,543.6,77.4,1758.2,28.3,1673.2,39.0,3651.2,43.7,1259.4,20.0,4904.9,48.9,37.98,54.9,32.24
Mergenetic-TA-Length,73.4,388.7,62.6,782.9,29.0,853.6,28.4,1258.4,42.2,703.3,10.0,2407.5,40.9,71.25,48.9,66.66
Mergenetic-TA-01-Random,74.1,419.4,63.2,785.7,29.8,842.6,29.0,1326.1,42.6,723.5,13.3,1948.8,42.0,72.81,49.4,65.61
Mergenetic-TA-02-Random,73.4,395.7,62.0,834.1,27.2,933.3,29.6,1373.4,42.2,705.6,6.7,1624.7,40.2,73.62,48.9,65.7
Mergenetic-TA-03-Random,85.6,400.2,77.6,1448.3,33.5,999.3,40.6,2375.1,47.8,948.5,6.7,4668.0,48.6,51.25,57.6,50.99
Mergenetic-TA-04-Random,86.0,415.2,79.0,1440.1,33.1,1243.5,40.1,2179.4,47.5,898.5,16.7,5218.4,50.4,48.76,57.6,52.42
Mergenetic-TA-05-Random,85.6,444.8,77.4,1415.3,34.6,1334.0,39.6,2381.0,47.1,951.3,13.3,4015.0,49.6,52.6,57.2,49.94
Mergenetic-TA-06-Random,77.0,408.1,68.4,1243.7,25.7,1111.5,34.5,1956.9,46.0,820.0,10.0,3341.6,43.6,60.06,52.7,57.13
Mergenetic-TA-01-Entropy,81.5,408.7,70.8,1225.1,30.1,1044.2,34.8,2038.5,46.8,822.2,3.3,3341.5,44.5,60.07,54.6,56.85
Mergenetic-TA-02-Entropy,84.9,431.2,79.8,1272.9,32.0,1280.8,41.2,2883.8,46.8,993.4,13.3,3630.9,49.7,52.81,57.1,47.12
Mergenetic-TA-03-Entropy,73.3,385.5,61.2,861.3,27.6,857.9,29.8,1235.1,42.6,711.5,10.0,2770.4,40.8,69.32,49.0,66.21
Mergenetic-TA-04-Entropy,85.7,409.5,77.2,1329.9,33.5,1059.5,40.9,2349.8,46.8,938.8,16.7,4478.3,50.1,52.49,57.1,51.65
Mergenetic-TA-05-Entropy,84.9,426.2,79.6,1367.8,33.1,1168.4,39.4,2427.1,47.7,948.5,13.3,3593.2,49.7,55.34,57.4,50.63
