method,GSM8K_acc,GSM8K_len,MATH500_acc,MATH500_len,MinervaMath_acc,MinervaMath_len,OlympiadBench_acc,OlympiadBench_len,CollegeMath_acc,CollegeMath_len,AIME24_acc,AIME24_len,Avg_acc,Avg_len,Weighted_acc,Weighted_len
Qwen2.5-Math-7B,83.7,104.0,59.4,432.8,9.6,946.8,17.0,1228.2,26.2,759.4,0.0,1450.0,32.6,820.9,40.6,645.5
DeepSeek-R1-Distill-Qwen-7B,89.9,1794.3,86.4,3505.1,42.6,4737.2,47.7,6187.3,45.4,3171.1,43.3,7891.9,59.2,4547.8,59.6,3341.1
Average Merging,91.1,370.1,83.8,1098.7,39.0,951.5,47.9,2223.1,49.5,911.1,16.7,3710.7,54.7,1544.2,61.5,975.4
Task Arithmetic,91.6,634.6,87.2,1970.4,39.0,1796.5,49.3,4304.3,47.2,1539.1,36.7,6580.9,58.5,2804.3,61.0,1736.9
TIES-Merging,89.9,360.3,84.0,1296.6,39.0,1050.6,48.7,2610.8,48.5,991.7,23.3,4266.5,55.6,1762.8,60.8,1085.5
ACM-Average,87.6,369.6,81.2,1066.3,37.5,841.7,41.8,1981.5,47.6,862.1,20.0,2951.5,52.6,1345.5,58.7,909.3
ACM-TA,92.3,354.1,86.0,1157.2,39.7,942.8,50.2,2292.2,49.5,926.5,30.0,3898.1,57.9,1595.2,62.3,993.5
ACM-TIES,86.1,378.8,81.6,1054.7,35.7,1020.8,45.0,2140.1,48.9,849.7,16.7,3118.6,52.3,1427.1,59.3,932.9
Mergenetic-TA-Accuracy,92.2,526.7,88.0,1792.2,40.4,1981.5,50.7,4147.0,47.3,1492.8,36.7,6674.3,59.2,2769.1,61.5,1663.0
Mergenetic-TA-Length,85.1,366.0,72.8,726.6,32.4,703.7,37.0,1295.7,41.9,762.5,16.7,2038.9,47.6,982.2,53.6,734.2
Mergenetic-TA-01-Random,91.9,403.9,86.2,1401.2,38.6,1241.4,49.2,3210.5,46.8,1133.6,30.0,6086.3,57.1,2246.2,60.7,1267.4
Mergenetic-TA-02-Random,85.4,365.1,80.2,1050.8,36.4,755.4,42.7,1899.8,47.7,796.5,16.7,3767.3,51.5,1439.1,58.1,864.3
Mergenetic-TA-03-Random,87.4,361.5,80.6,1012.9,36.8,740.6,42.2,1948.1,47.8,800.5,13.3,3919.5,51.3,1463.8,58.6,868.0
Mergenetic-TA-04-Random,83.8,371.9,74.2,745.6,33.5,678.3,37.0,1283.1,44.6,753.0,23.3,2007.8,49.4,973.3,54.9,729.6
Mergenetic-TA-05-Random,82.3,385.0,73.2,867.4,28.7,731.9,36.3,1255.1,43.7,751.5,20.0,2006.6,47.4,999.6,53.7,742.0
Mergenetic-TA-06-Random,92.0,370.4,86.0,1163.7,37.9,895.4,49.6,2433.8,48.5,916.5,30.0,5346.9,57.3,1849.7,61.6,1011.9
Mergenetic-TA-01-Entropy,92.6,430.1,87.6,1667.5,41.5,1468.7,51.4,3810.5,47.0,1258.0,26.7,6878.2,57.8,2585.5,61.5,1447.1
Mergenetic-TA-02-Entropy,82.0,378.5,73.2,867.4,28.7,731.9,36.9,1283.2,44.0,725.7,20.0,2006.6,47.5,998.9,53.8,730.9
Mergenetic-TA-03-Entropy,86.6,361.3,80.8,1069.0,36.4,784.8,42.1,1973.7,47.6,793.0,13.3,4461.8,51.1,1573.9,58.3,877.3
Mergenetic-TA-04-Entropy,85.4,385.5,76.4,867.1,33.8,747.9,40.7,1448.5,47.1,700.6,23.3,3368.4,51.0,1253.0,57.0,747.5
Mergenetic-TA-05-Entropy,92.0,531.2,87.8,1854.5,42.3,1824.8,51.1,4206.5,47.5,1481.7,36.7,6674.3,59.6,2762.2,61.7,1663.6
Mergenetic-TA-06-Entropy,91.4,362.3,83.4,1147.3,40.4,864.3,47.7,2433.8,49.2,860.7,30.0,3140.9,57.0,1468.2,61.5,970.6
Mergenetic-TA-07-Entropy,92.4,384.0,85.0,1228.6,39.3,976.9,52.9,1338.8,47.8,986.8,33.3,4948.4,58.4,1909.5,61.7,1121.3
